tijd	koppel	stroom	spanning	kadans	snelheid
2.265	2.124	0.503	0.424	0.00	0.00
2.338	2.115	0.505	0.412	0.00	0.00
2.418	2.115	0.501	0.393	0.00	0.00
2.493	2.115	0.496	0.378	0.00	0.00
2.568	2.115	0.491	0.368	0.00	0.00
2.642	2.110	0.491	0.393	0.00	0.00
2.718	2.115	0.501	0.393	0.00	0.00
2.792	2.115	0.505	0.422	0.00	0.00
2.864	2.115	0.496	0.451	0.00	0.00
2.936	2.115	0.496	0.501	0.00	0.00
3.009	2.115	0.496	0.564	0.00	0.00
3.081	2.115	0.496	0.643	0.00	0.00
3.153	2.115	0.496	0.697	0.00	0.00
3.225	2.115	0.491	0.766	0.00	6.44
3.298	2.115	0.491	0.795	0.00	6.44
3.371	2.115	0.491	0.873	0.00	6.44
3.445	2.115	0.501	0.849	0.00	6.44
3.518	2.115	0.496	0.839	0.00	6.44
3.591	2.115	0.501	0.829	0.00	6.44
3.662	2.110	0.501	0.819	0.00	6.44
3.735	2.115	0.491	0.795	0.00	6.44
3.808	2.110	0.491	0.756	0.00	6.44
3.879	2.110	0.496	0.785	0.00	6.44
3.952	2.115	0.491	0.756	0.00	6.44
4.025	2.110	0.486	0.766	0.00	6.44
4.097	2.110	0.505	0.741	0.00	6.44
4.169	2.110	0.496	0.726	0.00	6.44
4.242	2.110	0.501	0.726	0.00	6.44
4.314	2.110	0.501	0.707	0.00	6.44
4.386	2.115	0.491	0.756	0.00	6.44
4.458	2.115	0.496	0.736	0.00	6.44
4.534	2.115	0.491	0.721	0.00	6.44
4.608	2.110	0.491	0.721	0.00	5.75
4.680	2.110	0.486	0.697	0.00	5.75
4.752	2.110	0.496	0.702	0.00	5.75
4.825	2.110	0.501	0.702	0.00	5.75
4.897	2.110	0.496	0.682	0.00	5.75
4.969	2.110	0.486	0.697	0.00	5.75
5.042	2.110	0.496	0.908	0.00	5.75
5.113	2.110	0.496	0.805	0.00	5.75
5.186	2.110	0.491	0.726	0.00	5.75
5.259	2.110	0.491	0.687	0.00	5.75
5.330	2.110	0.491	0.662	0.00	5.75
5.403	2.110	0.486	0.687	0.00	5.75
5.476	2.110	0.501	0.633	0.00	5.75
5.551	2.110	0.501	0.604	0.00	5.75
5.623	2.110	0.486	0.643	0.00	5.75
5.696	2.110	0.496	0.589	0.00	5.75
5.768	2.105	0.496	0.613	0.00	5.75
5.840	2.110	0.496	0.564	0.00	5.75
5.912	2.105	0.496	0.535	0.00	5.75
5.985	2.115	0.491	0.692	0.00	5.75
6.057	2.110	0.486	0.628	0.00	5.75
6.129	2.110	0.496	0.579	0.00	4.98
6.202	2.110	0.501	0.540	0.00	4.98
6.275	2.110	0.496	0.510	0.00	4.98
6.346	2.110	0.501	0.481	0.00	4.98
6.419	2.110	0.486	0.461	0.00	4.98
6.491	2.115	0.501	0.437	0.00	4.98
6.563	2.110	0.496	0.417	0.00	4.98
6.639	2.115	0.496	0.397	0.00	4.98
6.712	2.110	0.496	0.388	0.00	4.98
6.784	2.110	0.496	0.368	0.00	4.98
6.856	2.110	0.505	0.358	0.00	4.98
6.928	2.110	0.501	0.348	0.00	4.98
7.001	2.110	0.505	0.339	0.00	4.98
7.073	2.110	0.496	0.353	0.00	4.98
7.145	2.115	0.501	0.363	0.00	4.98
7.218	2.110	0.491	0.383	0.00	4.98
7.289	2.110	0.496	0.388	0.00	4.98
7.362	2.115	0.496	0.388	0.00	4.98
7.435	2.110	0.491	0.368	0.00	4.98
7.506	2.110	0.496	0.363	0.00	4.98
7.579	2.110	0.505	0.348	0.00	4.98
7.651	2.110	0.496	0.339	0.00	4.98
7.727	2.110	0.491	0.339	0.00	4.98
7.799	2.115	0.501	0.324	0.00	4.98
