tijd	koppel	stroom	spanning	kadans	snelheid
2.264	2.130	0.505	3.798	55.97	0.00
2.354	2.125	0.510	3.798	43.60	0.00
2.428	2.120	0.505	3.798	43.60	0.00
2.503	2.120	0.496	3.798	43.60	0.00
2.578	2.125	0.505	3.798	30.00	0.00
2.653	2.125	0.505	3.798	30.00	0.00
2.727	2.125	0.501	3.798	30.00	0.00
2.802	2.125	0.515	3.798	30.00	0.00
2.874	2.125	0.501	3.798	30.00	0.00
2.947	2.041	0.505	3.798	30.00	0.00
3.018	2.110	0.515	3.798	30.00	0.00
3.091	2.125	0.501	3.798	0.00	0.00
3.166	2.110	0.505	3.798	0.00	0.00
3.237	2.100	0.501	3.798	0.00	0.00
3.310	2.086	0.501	3.798	0.00	0.00
3.382	2.081	0.501	3.798	0.00	0.00
3.454	2.081	0.496	3.798	0.00	0.00
3.526	2.076	0.505	3.798	0.00	0.00
3.598	2.071	0.496	3.798	7.74	0.00
3.671	2.071	0.496	3.798	7.74	0.00
3.742	2.076	0.496	3.793	7.74	0.00
3.815	2.076	0.496	3.798	7.74	0.00
3.887	2.076	0.501	3.798	7.74	0.00
3.959	2.076	0.496	3.798	7.74	0.00
4.031	2.125	0.501	3.798	0.00	0.00
4.104	2.120	0.501	3.798	14.29	0.00
4.175	2.130	0.496	3.798	14.29	0.00
4.251	2.125	0.501	3.798	14.29	0.00
4.324	2.120	0.510	3.798	14.29	0.00
4.396	2.051	0.496	3.798	14.29	0.00
4.468	2.076	0.496	3.798	21.19	0.00
4.540	1.929	0.510	3.798	21.19	0.00
4.614	1.791	0.491	3.798	21.19	0.00
4.685	1.649	0.501	3.798	21.19	0.00
4.758	1.526	0.520	3.734	23.73	0.00
4.830	1.428	0.766	3.661	23.73	0.00
4.902	1.359	1.202	3.823	23.73	0.00
4.974	1.354	1.354	3.514	23.73	0.00
5.047	1.394	1.673	3.499	26.50	0.00
5.118	1.482	1.227	3.680	26.50	0.00
5.191	1.492	1.575	3.509	26.50	0.00
5.267	1.693	1.354	3.558	30.12	0.00
5.339	1.825	1.040	3.533	30.12	0.00
5.411	1.987	1.045	3.518	30.12	0.00
5.483	2.100	1.055	3.759	35.21	0.00
5.556	2.135	1.026	3.548	35.21	0.00
5.627	2.159	0.932	3.700	35.21	0.00
5.700	2.135	1.084	3.523	37.69	0.00
5.772	2.115	0.903	3.769	37.69	0.00
5.844	2.144	0.829	3.734	37.69	0.00
5.916	2.203	0.932	3.577	38.46	0.00
5.989	2.243	0.864	3.592	38.46	0.00
6.061	2.277	0.790	3.538	40.11	0.00
6.133	2.198	0.731	3.783	40.11	0.00
6.205	2.154	0.810	3.764	40.11	0.00
6.281	2.027	0.707	3.494	41.67	0.00
6.352	1.889	0.736	3.769	41.67	0.00
6.425	1.747	0.677	3.518	42.61	0.00
6.497	1.639	0.716	3.739	42.61	0.00
6.569	1.492	0.687	3.788	42.61	0.00
6.641	1.565	0.731	3.612	44.64	0.00
6.714	1.639	0.643	3.577	44.64	0.00
6.786	1.767	0.677	3.675	43.86	0.00
6.858	1.992	0.589	3.886	43.86	0.00
6.930	2.081	0.574	3.553	46.58	0.00
7.003	2.095	0.579	3.980	46.58	0.00
7.074	2.081	0.584	3.852	49.67	0.00
7.147	2.086	0.584	3.582	49.67	0.00
7.219	2.135	0.540	3.577	49.67	0.00
7.294	2.193	0.545	3.793	49.67	0.00
7.367	2.140	0.520	3.587	49.34	0.00
7.439	2.144	0.530	3.867	49.34	0.00
7.512	2.090	0.540	3.828	52.08	0.00
7.583	1.816	0.525	3.558	52.08	0.00
7.656	1.516	0.525	3.823	53.96	0.00
7.728	1.364	0.530	3.847	53.96	0.00
7.800	1.345	0.530	3.621	54.35	0.00
7.872	1.448	0.520	3.823	54.35	0.00
7.945	1.698	0.525	3.803	53.19	0.00
8.016	1.987	0.525	3.523	53.19	0.00
8.100	2.076	0.530	3.533	55.97	0.00
8.172	2.110	0.515	3.803	55.97	0.00
8.245	2.105	0.530	3.921	59.52	0.00
8.320	2.120	0.510	3.572	58.59	0.00
8.392	2.179	0.530	3.778	58.59	0.00
8.464	2.164	0.520	3.641	58.59	0.00
8.537	2.140	0.535	3.847	58.59	0.00
8.608	1.875	0.525	3.577	61.98	0.00
8.680	1.516	0.525	3.793	62.50	0.00
8.753	1.310	0.530	3.671	62.50	0.00
8.824	1.389	0.530	3.582	61.98	0.00
8.897	1.502	0.520	3.504	61.98	0.00
8.969	1.884	0.515	3.813	63.03	0.00
9.041	2.056	0.540	3.749	64.66	0.00
9.113	2.095	0.525	3.793	64.66	0.00
9.186	2.100	0.540	3.828	68.18	0.00
9.257	2.110	0.530	3.788	67.57	0.00
9.330	2.154	0.520	3.793	67.57	0.00
9.405	2.149	0.515	3.857	66.96	0.00
9.478	2.095	0.525	3.837	68.18	0.00
9.549	1.806	0.520	3.661	68.18	0.00
9.622	1.516	0.515	3.602	69.44	0.00
9.694	1.457	0.525	3.803	70.75	0.00
9.766	1.526	0.515	3.538	70.75	0.00
9.838	1.855	0.515	3.823	69.44	0.00
9.911	2.061	0.525	3.774	70.75	0.00
9.982	2.090	0.525	3.592	70.75	0.00
10.055	2.095	0.525	3.563	70.75	0.00
10.127	2.135	0.515	3.886	72.82	0.00
10.200	2.130	0.520	3.788	72.82	0.00
10.271	2.164	0.530	3.867	72.82	0.00
10.344	2.036	0.510	3.808	72.82	0.00
10.419	1.688	0.515	3.621	72.82	0.00
10.491	1.453	0.530	3.798	74.26	0.00
10.563	1.413	0.515	3.832	75.00	0.00
10.636	1.747	0.530	3.783	74.26	0.00
10.707	2.046	0.530	3.852	74.26	0.00
10.780	2.154	0.520	3.847	75.76	0.00
10.852	2.110	0.520	3.832	78.12	0.00
10.925	2.149	0.520	3.597	75.76	0.00
10.996	2.203	0.496	3.587	75.76	0.00
11.069	2.184	0.515	3.607	75.00	0.00
11.141	2.017	0.515	3.788	76.53	0.00
11.213	1.693	0.530	3.901	78.12	0.00
11.285	1.634	0.510	3.734	78.12	0.00
11.358	1.639	0.515	3.597	77.32	0.00
11.433	1.943	0.520	3.862	78.95	0.00
11.505	2.105	0.525	3.778	77.32	0.00
11.578	2.140	0.520	3.852	77.32	0.00
11.650	2.164	0.520	3.813	78.95	0.00
11.722	2.223	0.520	3.783	79.79	0.00
11.794	2.198	0.525	3.671	81.52	0.00
11.867	2.154	0.510	3.631	81.52	0.00
11.938	1.973	0.525	3.886	77.32	0.00
12.011	1.668	0.525	3.828	78.95	0.00
12.083	1.590	0.520	3.577	80.65	0.00
12.155	1.791	0.525	3.842	80.65	0.00
12.227	2.027	0.515	3.612	79.79	0.00
12.300	2.140	0.515	3.720	75.00	0.00
12.375	2.071	0.515	3.813	75.00	0.00
12.447	1.963	0.515	3.808	41.21	0.00
12.519	1.904	0.510	3.587	41.21	0.00
12.592	1.992	0.525	3.793	41.21	0.00
12.663	2.027	0.520	3.803	41.21	0.00
12.736	2.046	0.510	3.778	41.21	0.00
12.808	2.046	0.505	3.774	41.21	0.00
12.880	2.022	0.501	3.778	41.21	0.00
12.953	1.963	0.496	3.778	16.16	0.00
13.025	1.958	0.505	3.783	16.16	0.00
13.097	2.056	0.501	3.778	16.16	0.00
13.169	2.184	0.501	3.783	34.25	0.00
13.242	2.213	0.491	3.778	78.95	0.00
13.314	2.198	0.510	3.783	78.95	0.00
13.389	2.243	0.491	3.783	78.95	0.00
13.461	2.184	0.501	3.788	78.12	0.00
13.534	2.081	0.501	3.788	78.95	0.00
13.605	1.879	0.496	3.783	77.32	0.00
13.678	1.698	0.510	3.798	77.32	0.00
13.750	1.776	0.515	3.788	79.79	0.00
13.822	1.948	0.525	3.774	78.95	0.00
13.905	2.120	0.520	3.891	79.79	0.00
13.978	2.149	0.520	3.646	80.65	0.00
14.050	2.189	0.515	3.489	80.65	0.00
14.123	2.238	0.515	3.828	79.79	0.00
14.194	2.203	0.520	3.774	78.95	0.00
14.267	2.110	0.525	3.877	78.95	0.00
14.339	1.973	0.520	3.715	78.95	0.00
14.414	1.727	0.525	3.798	79.79	0.00
14.486	1.678	0.515	3.612	81.52	0.00
14.559	1.919	0.515	3.823	80.65	0.00
14.630	2.066	0.510	3.808	80.65	0.00
14.703	2.179	0.510	3.558	80.65	0.00
14.775	2.203	0.515	3.553	85.23	0.00
14.848	2.257	0.520	3.798	84.27	0.00
14.919	2.184	0.515	3.818	80.65	0.00
14.991	2.125	0.515	3.847	80.65	0.00
15.064	1.899	0.520	3.842	76.53	0.00
15.135	1.664	0.510	3.783	77.32	0.00
15.208	1.629	0.510	3.798	82.42	0.00
15.280	1.767	0.510	3.778	82.42	0.00
15.352	2.002	0.510	3.803	81.52	0.00
15.427	2.154	0.520	3.862	81.52	0.00
15.500	2.090	0.515	3.793	83.33	0.00
15.571	2.095	0.505	3.808	83.33	0.00
15.644	2.169	0.515	3.774	83.33	0.00
15.716	2.164	0.530	3.813	82.42	0.00
15.789	1.982	0.520	3.749	81.52	0.00
15.860	1.747	0.520	3.567	80.65	0.00
15.933	1.585	0.520	3.886	81.52	0.00
16.005	1.771	0.505	3.828	81.52	0.00
16.077	2.007	0.515	3.813	79.79	0.00
16.149	2.189	0.525	3.832	82.42	0.00
16.222	2.130	0.515	3.808	83.33	0.00
16.293	2.154	0.520	3.852	84.27	0.00
16.365	2.228	0.525	3.803	84.27	0.00
16.441	2.154	0.501	3.823	82.42	0.00
16.514	2.022	0.515	3.749	79.79	0.00
16.585	1.875	0.530	3.798	78.95	0.00
16.657	1.585	0.520	3.798	83.33	0.00
16.730	1.747	0.515	3.793	83.33	0.00
16.801	2.002	0.520	3.837	82.42	0.00
16.874	2.125	0.501	3.837	81.52	0.00
16.946	2.130	0.530	3.798	83.33	0.00
17.018	2.105	0.515	3.877	85.23	0.00
17.090	2.208	0.515	3.798	85.23	0.00
17.163	2.144	0.510	3.832	84.27	0.00
17.234	2.056	0.515	3.774	83.33	0.00
17.306	1.825	0.515	3.798	84.27	0.00
17.379	1.708	0.515	3.823	87.21	0.00
17.454	1.830	0.510	3.813	87.21	0.00
17.526	2.032	0.510	3.798	85.23	0.00
17.598	2.159	0.515	3.783	85.23	0.00
17.671	2.174	0.501	3.818	88.24	0.00
17.742	2.198	0.520	3.783	88.24	0.00
17.815	2.208	0.515	3.872	84.27	0.00
17.887	2.149	0.510	3.788	84.27	0.00
17.959	2.051	0.515	3.837	83.33	0.00
18.031	1.884	0.505	3.587	85.23	0.00
18.103	1.722	0.515	3.798	93.75	0.00
18.176	1.973	0.510	3.832	92.59	0.00
18.247	2.095	0.520	3.832	91.46	0.00
18.320	2.144	0.515	3.832	89.29	0.00
18.396	2.169	0.520	3.808	88.24	0.00
18.467	2.238	0.515	3.754	88.24	0.00
18.539	2.154	0.515	3.813	88.24	0.00
18.612	2.051	0.520	3.793	87.21	0.00
18.683	1.879	0.520	3.823	87.21	0.00
18.756	1.811	0.515	3.798	90.36	0.00
18.828	1.894	0.515	3.798	88.24	0.00
18.900	2.051	0.515	3.798	88.24	0.00
18.972	2.140	0.520	3.818	89.29	0.00
19.045	2.164	0.515	3.793	89.29	0.00
19.117	2.218	0.515	3.798	91.46	0.00
19.189	2.169	0.520	3.793	89.29	0.00
19.261	2.110	0.515	3.803	88.24	0.00
19.333	1.884	0.510	3.793	89.29	0.00
19.408	1.634	0.515	3.793	92.59	0.00
19.480	1.830	0.525	3.788	92.59	0.00
19.553	2.041	0.520	3.572	89.29	0.00
19.624	2.144	0.510	3.823	85.23	0.00
19.708	2.110	0.510	3.788	85.23	0.00
19.780	1.997	0.520	3.798	85.23	0.00
19.853	1.929	0.510	3.818	33.48	0.00
19.924	1.958	0.510	3.803	33.48	0.00
19.997	1.992	0.510	3.793	33.48	0.00
20.069	1.997	0.501	3.788	33.48	0.00
20.142	2.027	0.501	3.783	33.48	0.00
20.213	1.992	0.496	3.783	33.48	0.00
20.285	1.968	0.496	3.788	16.41	0.00
20.358	1.978	0.496	3.788	16.41	0.00
20.432	1.997	0.501	3.783	16.41	0.00
20.505	2.071	0.510	3.788	30.24	0.00
20.577	2.174	0.505	3.788	30.24	0.00
20.649	2.169	0.505	3.783	74.26	0.00
20.721	2.174	0.496	3.788	92.59	0.00
20.794	2.164	0.501	3.783	79.79	0.00
