tijd	koppel	stroom	spanning	kadans	snelheid
2.268	2.002	0.501	3.818	0.00	0.00
2.339	2.036	0.491	3.818	0.00	0.00
2.410	2.100	0.505	3.818	0.00	0.00
2.482	2.159	0.501	3.818	17.65	0.00
2.552	2.262	0.501	3.818	17.65	0.00
2.624	2.233	0.501	3.818	17.65	0.00
2.695	2.257	0.491	3.818	17.65	0.00
2.762	2.238	0.505	3.818	25.68	0.00
2.831	2.252	0.501	3.823	25.68	0.00
2.898	2.223	0.505	3.818	25.68	0.00
2.966	2.174	0.501	3.818	25.68	0.00
3.035	2.159	0.501	3.818	25.00	0.00
3.102	2.203	0.505	3.818	25.00	7.12
3.171	2.208	0.496	3.818	25.00	7.12
3.238	2.184	0.505	3.823	25.00	7.12
3.310	2.179	0.505	3.818	25.00	7.12
3.378	2.189	0.501	3.818	25.68	7.12
3.446	2.174	0.505	3.818	25.68	7.12
3.515	2.154	0.505	3.818	25.68	7.12
3.582	2.130	0.505	3.818	25.68	7.12
3.651	2.086	0.510	3.832	26.98	7.12
3.720	2.002	0.525	3.705	26.98	7.12
3.787	1.830	0.550	3.749	26.98	7.12
3.856	1.644	0.559	3.950	26.98	7.12
3.924	1.477	0.540	4.107	27.47	7.12
3.992	1.438	0.540	3.744	27.47	7.12
4.061	1.428	0.530	3.798	27.47	7.12
4.128	1.413	0.574	3.636	29.64	7.12
4.197	1.497	0.574	3.788	29.64	7.12
4.269	1.595	0.520	3.950	29.64	7.12
4.337	1.688	0.535	3.685	29.64	7.12
4.405	1.816	0.530	3.764	30.49	7.12
4.483	1.943	0.530	3.759	30.49	7.12
4.551	2.017	0.520	3.906	30.49	7.12
4.619	2.051	0.520	3.543	32.61	7.12
4.687	2.071	0.530	3.749	32.61	7.12
4.755	2.071	0.535	3.759	32.61	7.12
4.824	2.076	0.505	3.675	34.88	7.12
4.892	2.081	0.520	3.803	34.88	7.12
4.960	2.076	0.535	3.764	34.88	4.26
5.028	2.105	0.525	3.818	35.38	4.26
5.097	2.149	0.515	3.965	35.38	4.26
5.165	2.164	0.525	3.813	35.38	4.26
5.236	2.169	0.520	3.818	36.95	4.26
5.305	2.169	0.515	3.744	36.95	4.26
5.372	2.144	0.530	3.671	36.95	4.26
5.441	2.081	0.525	3.921	37.13	4.26
5.511	1.929	0.525	3.729	37.13	4.26
5.579	1.742	0.520	3.769	37.13	4.26
5.647	1.575	0.520	3.891	38.07	4.26
5.715	1.462	0.520	3.975	38.07	4.26
5.784	1.443	0.515	3.685	38.07	4.26
5.852	1.536	0.520	3.837	39.68	4.26
5.920	1.644	0.520	3.921	39.68	4.26
5.988	1.781	0.520	3.808	39.68	4.26
6.056	1.933	0.535	3.916	39.06	4.26
6.125	2.012	0.520	3.739	39.06	4.26
6.197	2.046	0.530	3.823	39.47	4.26
6.264	2.086	0.525	3.813	39.47	4.26
6.333	2.090	0.515	3.656	39.47	4.26
6.401	2.105	0.525	3.744	40.54	4.26
6.469	2.130	0.520	3.734	40.54	4.26
6.538	2.110	0.510	3.695	40.54	4.26
6.605	2.115	0.515	3.739	41.21	4.26
6.674	2.130	0.525	3.896	41.21	4.26
6.743	2.140	0.535	3.818	41.44	4.26
6.810	2.149	0.520	3.695	41.44	4.26
6.879	2.130	0.520	3.651	41.44	4.26
6.946	2.012	0.520	3.813	42.37	0.00
7.015	1.840	0.515	3.862	42.37	0.00
7.084	1.639	0.520	3.754	42.37	0.00
7.151	1.438	0.520	3.901	42.86	0.00
7.217	1.330	0.515	3.725	42.86	0.00
7.285	1.453	0.525	3.916	44.38	0.00
7.361	1.551	0.520	3.710	44.38	0.00
7.430	1.678	0.520	3.837	44.38	0.00
7.497	1.889	0.515	3.837	43.10	0.00
7.566	2.022	0.515	3.906	43.10	0.00
7.634	2.061	0.515	3.931	45.18	0.00
7.702	2.120	0.525	3.837	45.18	0.00
7.771	2.110	0.520	3.666	47.47	0.00
7.838	2.110	0.515	3.901	47.47	0.00
7.907	2.140	0.525	3.823	47.47	0.00
7.974	2.164	0.520	3.577	46.30	0.00
8.043	2.184	0.510	3.823	46.30	0.00
8.111	2.189	0.515	3.818	47.17	0.00
8.182	2.174	0.520	3.607	47.17	0.00
8.251	2.061	0.515	3.695	49.02	0.00
8.318	1.904	0.510	3.690	49.02	0.00
8.387	1.688	0.525	3.950	49.02	0.00
8.455	1.541	0.520	3.636	49.02	0.00
8.523	1.585	0.525	3.832	49.02	0.00
8.591	1.649	0.520	3.680	49.67	0.00
8.659	1.717	0.515	3.695	49.67	0.00
8.728	1.904	0.515	3.778	48.39	0.00
8.796	2.027	0.510	3.651	48.39	0.00
8.864	2.081	0.520	3.936	49.02	0.00
8.932	2.130	0.510	3.896	49.02	0.00
9.000	2.149	0.520	3.700	51.02	0.00
9.068	2.154	0.520	4.048	51.02	0.00
9.140	2.179	0.510	3.587	51.02	0.00
9.207	2.198	0.510	3.798	49.67	0.00
9.276	2.198	0.515	3.656	49.67	0.00
9.345	2.193	0.515	3.896	50.34	0.00
9.412	2.140	0.515	3.832	50.34	0.00
9.481	2.036	0.525	3.832	51.02	0.00
9.548	1.825	0.515	3.886	51.02	0.00
9.617	1.659	0.515	3.940	51.72	0.00
9.684	1.619	0.520	3.906	51.72	0.00
9.753	1.678	0.515	3.980	51.72	0.00
9.821	1.752	0.496	3.886	51.72	0.00
9.889	1.899	0.520	3.945	50.68	0.00
9.957	2.027	0.515	3.813	50.68	0.00
10.025	2.046	0.510	3.896	51.37	0.00
10.097	2.110	0.520	3.705	51.37	0.00
10.181	2.154	0.520	3.813	53.57	0.00
10.249	2.095	0.525	3.832	53.57	0.00
10.317	2.144	0.530	3.793	53.19	0.00
10.386	2.179	0.515	3.582	53.19	1.43
10.454	2.198	0.515	3.832	51.37	1.43
10.522	2.198	0.510	3.778	51.37	1.43
10.590	2.115	0.520	3.818	51.37	1.43
10.658	1.987	0.515	3.832	52.82	1.43
10.727	1.722	0.505	3.602	52.82	1.43
10.795	1.536	0.510	3.695	52.82	1.43
10.863	1.487	0.501	3.818	52.82	1.43
10.932	1.605	0.520	3.700	55.15	1.43
10.999	1.737	0.515	3.891	55.15	1.43
11.071	1.968	0.510	3.813	53.57	1.43
11.140	2.051	0.520	3.666	53.57	1.43
11.207	2.095	0.515	3.872	54.74	1.43
11.276	2.105	0.520	3.852	54.74	1.43
11.343	2.120	0.510	3.837	56.82	1.43
11.412	2.130	0.510	3.828	56.39	1.43
11.481	2.164	0.510	3.832	56.39	1.43
11.548	2.189	0.515	3.847	55.97	1.43
11.617	2.174	0.515	3.690	55.97	1.43
11.685	2.105	0.520	3.926	56.39	1.43
11.753	1.929	0.530	3.828	56.39	1.43
11.822	1.624	0.510	3.720	57.69	1.43
11.890	1.556	0.515	3.828	57.69	1.43
11.958	1.614	0.505	3.661	58.14	1.43
12.029	1.727	0.505	3.882	58.14	1.43
12.098	1.889	0.510	3.896	57.25	1.43
12.166	2.041	0.510	3.828	57.25	1.43
12.234	2.086	0.525	3.926	58.59	1.43
12.302	2.100	0.515	3.823	58.59	1.43
12.370	2.125	0.510	3.617	59.52	0.00
12.439	2.120	0.510	3.837	59.52	0.00
12.507	2.174	0.515	3.828	59.52	0.00
12.575	2.179	0.501	3.818	59.52	0.00
12.643	2.164	0.520	3.828	59.52	0.00
12.711	2.095	0.515	3.828	58.59	0.00
12.779	1.884	0.515	3.720	58.59	0.00
12.848	1.614	0.510	3.626	59.52	0.00
12.915	1.560	0.515	3.828	59.52	0.00
12.987	1.502	0.510	3.832	61.98	0.00
13.071	1.767	0.515	3.788	61.98	0.00
13.139	1.982	0.510	3.754	59.52	0.00
13.207	2.076	0.510	3.965	60.48	0.00
13.276	2.105	0.520	3.828	60.48	0.00
13.343	2.100	0.510	3.685	61.48	0.00
13.412	2.115	0.510	3.607	61.48	0.00
13.480	2.130	0.520	3.886	60.00	0.00
13.548	2.174	0.510	3.700	60.00	0.00
13.617	2.189	0.501	3.828	59.06	0.00
13.684	2.115	0.525	3.832	59.06	0.00
13.753	1.982	0.515	3.803	59.06	0.00
13.820	1.683	0.520	3.680	59.06	0.00
13.889	1.506	0.510	3.793	60.00	0.00
13.955	1.506	0.515	3.832	60.48	0.00
14.022	1.585	0.510	3.783	60.48	0.00
14.091	1.771	0.520	3.837	60.48	0.00
14.159	1.973	0.505	3.617	60.48	0.00
14.227	2.159	0.515	3.911	60.98	0.00
14.296	2.174	0.510	3.823	60.98	0.00
14.363	2.130	0.510	3.886	64.10	0.00
14.432	2.213	0.510	3.882	64.10	0.00
14.499	2.228	0.520	3.828	64.10	0.00
14.568	2.198	0.515	3.832	63.56	0.00
14.636	2.149	0.505	3.852	63.56	0.00
14.704	2.036	0.525	3.901	63.03	0.00
14.772	1.870	0.510	3.828	63.03	0.00
14.843	1.781	0.510	3.793	62.50	0.00
14.912	1.781	0.515	3.872	63.56	0.00
14.980	1.816	0.510	3.911	63.56	0.00
15.048	1.948	0.525	3.916	61.98	0.00
15.116	2.046	0.515	3.828	61.98	0.00
15.184	2.140	0.515	3.803	63.03	0.00
15.252	2.090	0.520	3.965	63.03	0.00
15.321	2.105	0.520	3.823	64.66	0.00
15.388	2.115	0.515	3.828	63.56	0.00
15.457	2.228	0.520	3.671	63.56	1.53
15.525	2.243	0.510	3.803	63.56	1.53
15.593	2.135	0.515	3.793	63.56	1.53
15.662	2.041	0.505	3.793	63.56	1.53
15.729	1.840	0.515	3.793	63.56	1.53
15.801	1.737	0.505	3.862	64.10	1.53
15.869	1.757	0.520	3.828	64.10	1.53
15.953	1.850	0.515	3.945	64.10	1.53
16.021	1.997	0.515	3.798	63.56	1.53
16.090	2.100	0.520	3.828	65.22	1.53
16.158	2.135	0.520	3.896	65.22	1.53
16.226	2.140	0.520	3.828	64.66	1.53
16.294	2.169	0.520	3.828	64.66	1.53
16.362	2.189	0.520	3.823	63.56	1.53
16.431	2.223	0.505	3.798	63.56	1.53
16.499	2.184	0.510	3.661	64.66	1.53
16.567	2.081	0.515	3.906	64.10	1.53
16.635	1.914	0.520	3.906	64.10	1.53
16.703	1.727	0.520	3.828	64.66	1.53
16.775	1.659	0.525	3.661	64.66	1.53
16.843	1.717	0.520	3.563	65.22	1.53
16.911	1.884	0.510	3.896	65.79	1.53
16.979	2.046	0.510	3.921	65.79	1.53
17.047	2.105	0.510	3.886	65.22	1.53
17.116	2.149	0.510	3.671	65.22	1.53
17.184	2.144	0.510	3.793	65.79	1.53
17.252	2.184	0.510	3.916	66.37	1.53
17.320	2.203	0.510	3.886	66.37	1.53
17.388	2.203	0.515	3.818	65.79	1.53
