tijd	koppel	stroom	spanning	kadans	snelheid
2.246	2.140	0.496	3.788	49.02	0.00
2.321	2.135	0.501	3.788	49.02	0.00
2.396	2.130	0.501	3.788	49.02	0.00
2.470	2.135	0.505	3.788	49.02	0.00
2.545	2.135	0.501	3.788	49.02	0.00
2.625	2.140	0.501	3.788	49.02	0.00
2.715	2.144	0.496	3.788	0.00	0.00
2.789	2.149	0.505	3.788	0.00	0.00
2.862	2.144	0.496	3.788	0.00	0.00
2.933	2.135	0.505	3.788	0.00	8.66
3.006	2.154	0.505	3.788	0.00	8.66
3.079	2.198	0.510	3.788	0.00	8.66
3.150	2.130	0.491	3.788	0.00	8.66
3.223	2.140	0.501	3.788	0.00	8.66
3.295	2.105	0.505	3.788	6.78	8.66
3.367	2.086	0.505	3.788	6.78	8.66
3.440	2.086	0.501	3.788	6.78	8.66
3.512	2.120	0.501	3.788	6.78	8.66
3.585	2.184	0.501	3.783	29.41	8.66
3.660	2.218	0.501	3.788	29.41	8.66
3.733	2.238	0.501	3.788	29.41	8.66
3.805	2.233	0.496	3.788	31.38	8.66
3.877	2.218	0.505	3.788	31.38	7.94
3.950	2.110	0.505	3.680	31.38	7.94
4.022	1.924	0.545	3.916	37.69	7.94
4.094	1.678	0.810	3.666	37.69	7.94
4.167	1.418	0.829	3.837	39.06	7.94
4.239	1.168	0.864	3.553	39.06	7.94
4.312	1.030	1.099	3.631	39.06	7.94
4.384	1.124	0.819	3.774	38.86	7.94
4.457	1.300	0.658	3.788	38.86	7.94
4.529	1.394	0.594	3.798	41.44	7.94
4.602	1.786	0.579	3.867	41.44	7.94
4.675	2.027	0.530	3.808	41.44	10.47
4.751	2.090	0.569	3.582	46.58	10.47
4.823	2.076	0.599	3.661	46.58	10.47
4.895	2.066	0.677	3.675	50.00	10.47
4.968	2.086	0.648	3.617	50.00	10.47
5.041	2.169	0.550	3.798	47.47	10.47
5.112	2.179	0.515	3.671	47.47	10.47
5.185	2.213	0.520	3.602	49.67	10.47
5.266	2.135	0.535	3.646	49.67	12.76
5.338	1.924	0.525	3.626	52.82	12.76
5.410	1.580	0.545	3.960	52.82	12.76
5.483	1.340	0.525	3.828	54.74	12.76
5.556	1.369	0.540	3.832	54.74	12.76
5.627	1.384	0.525	3.852	53.19	12.76
5.700	1.551	0.525	3.671	53.19	12.76
5.770	1.909	0.530	3.509	53.57	12.76
