tijd	koppel	stroom	spanning	kadans	snelheid
2.255	2.115	0.505	3.783	43.10	0.00
2.330	2.179	0.501	3.783	43.10	0.00
2.405	2.179	0.505	3.778	43.10	0.00
2.481	2.174	0.496	3.783	43.10	18.00
2.555	2.154	0.491	3.778	43.10	18.00
2.631	2.090	0.501	3.783	43.10	18.00
2.706	2.036	0.501	3.783	16.06	18.00
2.782	1.929	0.520	3.783	16.06	18.00
2.854	1.850	0.501	3.783	16.06	18.00
2.927	1.727	0.505	3.783	16.06	18.00
3.000	1.668	0.505	3.783	16.06	18.00
3.076	1.570	0.501	3.783	18.12	18.00
3.148	1.423	0.496	3.778	18.12	18.00
3.221	1.276	0.515	3.778	18.12	18.00
3.294	1.232	0.501	3.778	18.12	18.00
3.366	1.305	0.510	3.783	18.12	18.00
3.439	1.364	0.510	3.783	23.36	18.00
3.512	1.379	0.496	3.783	23.36	18.00
3.585	1.359	0.515	3.700	23.36	18.00
3.657	1.619	0.525	3.582	23.36	18.00
3.730	1.722	0.780	3.837	25.42	6.08
3.803	1.860	1.099	3.636	25.42	6.08
3.875	2.071	0.854	3.420	25.42	6.08
3.948	2.120	0.923	3.420	29.07	6.08
4.021	2.081	1.114	3.617	29.07	6.08
4.097	2.115	1.080	3.769	29.07	6.08
4.169	2.154	0.849	3.828	32.47	6.08
4.242	2.189	0.805	3.518	32.47	6.08
4.315	2.154	0.829	3.514	32.47	6.08
4.387	2.198	0.834	3.479	32.47	6.08
4.460	2.184	0.947	3.538	33.19	6.08
4.533	2.198	0.888	3.778	33.19	6.08
4.606	2.228	0.736	3.715	33.19	9.11
4.679	2.257	0.702	3.774	33.48	9.11
4.752	2.179	0.977	3.543	33.48	9.11
4.825	2.090	0.721	3.783	36.95	9.11
4.897	2.022	0.864	3.523	36.95	9.11
4.970	1.929	0.815	3.774	36.95	9.11
5.043	1.693	0.761	3.567	37.50	9.11
5.115	1.600	0.923	3.538	37.50	9.11
5.191	1.737	0.721	3.823	37.50	9.11
5.264	1.850	0.697	3.587	38.46	9.11
5.337	1.830	0.712	3.783	38.46	10.72
5.409	1.870	0.667	3.744	38.46	10.72
5.482	1.835	0.805	3.572	38.46	10.72
5.555	1.767	0.697	3.621	38.46	10.72
5.627	1.767	0.530	3.553	38.46	10.72
5.700	1.708	0.535	3.931	38.46	10.72
5.773	1.776	0.599	3.788	38.46	10.72
5.846	1.673	0.505	3.705	38.46	10.72
5.918	1.762	0.491	3.710	0.00	10.72
5.991	1.762	0.491	3.715	0.00	11.70
6.064	1.767	0.501	3.720	0.00	11.70
6.136	1.845	0.505	3.725	0.00	11.70
6.212	1.821	0.505	3.729	0.00	11.70
6.285	1.899	0.505	3.734	0.00	11.70
6.358	1.811	0.496	3.734	0.00	11.70
6.430	1.771	0.496	3.739	0.00	11.70
6.503	1.717	0.501	3.734	7.22	11.70
6.576	1.767	0.515	3.744	7.22	11.70
6.648	1.757	0.496	3.744	7.22	11.11
6.721	1.747	0.505	3.749	7.22	11.11
6.794	1.708	0.501	3.749	7.22	11.11
6.866	1.713	0.505	3.749	7.22	11.11
6.939	1.737	0.496	3.749	7.22	11.11
7.012	1.767	0.505	3.749	0.00	11.11
7.085	1.781	0.505	3.749	0.00	11.11
7.157	1.742	0.505	3.754	0.00	11.11
7.233	1.801	0.510	3.754	0.00	11.11
7.305	1.821	0.501	3.754	0.00	11.11
7.377	1.767	0.505	3.759	0.00	11.21
7.450	1.762	0.491	3.759	0.00	11.21
7.523	1.806	0.515	3.759	0.00	11.21
7.596	1.840	0.496	3.759	0.00	11.21
7.668	1.909	0.510	3.759	6.17	11.21
7.741	1.968	0.501	3.759	6.17	11.21
7.814	2.071	0.501	3.759	6.17	11.21
7.886	2.105	0.496	3.764	40.11	11.21
7.959	2.149	0.510	3.764	40.11	11.21
8.032	2.140	0.496	3.764	40.11	11.21
8.121	2.159	0.510	3.769	36.59	10.46
8.194	2.179	0.491	3.764	36.59	10.46
8.269	2.218	0.505	3.764	34.40	10.46
8.342	2.282	0.510	3.769	34.40	10.46
8.415	2.252	0.501	3.769	34.40	10.46
8.487	2.208	0.505	3.597	36.41	10.46
8.560	2.203	0.520	3.891	36.41	10.46
8.633	2.125	0.515	3.818	36.41	10.46
8.706	2.090	0.559	3.720	36.41	10.46
8.783	2.144	0.805	3.675	36.41	10.46
8.856	2.169	0.761	3.852	36.41	10.37
8.929	2.233	0.662	3.813	36.41	10.37
9.001	2.208	0.707	3.636	0.00	10.37
9.073	2.125	0.505	3.754	0.00	10.37
