tijd	koppel	stroom	spanning	kadans	snelheid
5.175	6.87	3.26	40.01	0.00	0.00
5.225	13.59	4.70	39.38	0.00	0.00
5.275	25.35	6.68	39.21	0.00	0.00
5.325	23.11	7.72	39.10	0.00	0.00
5.376	23.67	7.25	38.64	0.00	0.00
5.425	21.43	4.91	38.99	34.09	0.00
5.475	33.19	4.48	38.70	34.09	0.00
5.525	24.79	4.81	38.47	34.09	0.00
5.575	28.71	8.15	38.53	34.09	0.00
5.625	31.51	6.79	38.42	37.50	0.00
5.676	21.43	4.66	38.47	37.50	0.00
5.725	23.11	3.73	38.70	37.50	0.00
5.775	14.15	4.19	38.47	37.50	13.10
5.825	6.31	3.83	38.70	37.69	13.10
5.875	5.75	3.80	38.70	37.69	13.10
5.925	-2.10	5.09	38.87	37.69	13.10
5.976	-1.54	3.04	38.99	41.67	13.10
6.025	-6.58	3.37	38.81	41.67	13.10
6.075	-8.26	2.50	39.10	41.67	13.10
6.125	-4.90	2.86	39.10	41.67	13.10
6.175	-2.10	2.29	39.04	42.13	13.10
6.225	-6.58	2.90	39.10	42.13	13.10
6.275	-8.82	2.29	39.16	42.13	13.10
6.325	-9.38	3.08	39.33	42.13	13.10
6.375	-7.70	1.78	39.27	39.06	13.10
6.425	-6.02	2.61	39.21	39.06	13.10
6.475	-5.46	2.04	39.21	39.06	13.10
6.525	-3.22	1.93	39.38	48.39	13.10
6.575	-2.66	1.46	39.33	48.39	9.97
6.625	0.14	1.57	39.44	48.39	9.97
6.675	6.87	2.14	39.38	45.45	9.97
6.725	10.79	1.42	39.50	45.45	9.97
6.775	14.15	1.75	39.50	45.45	9.97
6.825	17.51	2.11	39.44	45.45	9.97
6.875	19.75	1.82	39.55	41.44	9.97
6.925	23.67	1.82	39.38	41.44	9.97
6.975	20.31	1.60	39.61	41.44	9.97
7.025	20.31	1.57	39.50	50.34	9.97
7.075	16.95	1.24	39.67	50.34	9.97
7.126	13.03	1.82	39.61	50.34	9.97
7.175	7.99	1.17	39.61	49.34	9.97
7.225	4.07	1.39	39.72	49.34	9.97
7.275	0.14	1.50	39.61	49.34	11.08
7.325	-2.66	1.64	39.67	46.88	11.08
7.375	-7.70	1.86	39.61	46.88	11.08
7.426	-11.06	1.14	39.72	46.88	11.08
7.475	-11.06	1.68	39.55	49.34	11.08
7.525	-11.62	1.39	39.61	49.34	11.08
7.575	-12.74	1.24	39.72	49.34	11.08
7.625	-13.86	1.32	39.67	47.77	11.08
7.675	-12.74	0.96	39.78	47.77	11.08
7.726	-11.06	0.85	39.84	47.77	11.08
7.776	-7.70	0.99	39.84	48.70	11.08
7.826	-4.34	0.78	39.89	48.70	11.08
7.876	-0.42	1.10	39.89	48.70	11.08
7.926	5.19	0.96	39.84	50.34	11.51
7.976	14.15	0.92	39.89	50.34	11.51
8.026	19.19	1.14	39.84	72.12	11.51
8.076	17.51	0.92	39.95	72.12	11.51
8.126	28.71	1.42	39.89	82.42	11.51
8.176	23.67	0.63	40.01	82.42	11.51
8.226	9.67	0.81	40.01	82.42	11.51
8.276	5.19	1.46	39.89	56.39	11.51
8.326	2.95	3.65	39.50	56.39	11.51
8.376	-7.14	3.33	39.21	65.22	11.51
8.426	-7.70	4.66	39.10	65.22	11.51
8.476	-8.82	5.06	38.70	65.22	11.51
8.526	-13.30	4.45	38.93	55.56	11.51
8.577	-12.18	5.24	38.76	55.56	12.03
8.626	-18.34	4.19	38.53	68.18	12.03
8.676	-12.18	5.49	38.76	68.18	12.03
8.726	-11.62	5.13	38.36	68.18	12.03
8.776	-3.22	4.70	38.99	53.96	12.03
8.826	-0.42	5.27	38.70	53.96	12.03
8.877	4.07	4.95	38.36	74.26	12.03
8.926	6.31	4.66	38.64	74.26	12.03
8.976	10.79	4.55	38.42	74.26	12.03
9.026	13.03	4.27	38.87	50.34	12.03
9.076	9.67	4.63	38.42	50.34	12.03
9.126	15.27	3.01	38.76	60.98	12.03
9.177	10.79	5.27	38.59	60.98	12.76
9.227	11.35	3.65	38.53	60.98	12.76
9.277	9.11	3.08	38.59	60.98	12.76
9.327	3.51	4.81	38.36	42.13	12.76
9.377	2.95	3.22	38.64	42.13	12.76
9.427	3.51	3.65	38.76	42.13	12.76
9.477	0.70	3.51	38.59	42.13	12.76
9.527	2.39	2.94	38.87	42.13	12.76
9.577	9.11	3.12	38.76	42.13	12.76
9.627	15.27	2.61	38.99	42.13	12.76
9.677	18.07	4.05	38.76	42.13	12.76
9.728	14.15	0.09	39.50	42.13	12.76
9.777	11.35	-0.02	39.61	42.13	13.26
9.827	7.99	0.02	39.67	0.00	13.26
9.877	6.87	-0.05	39.78	0.00	13.26
9.927	5.75	0.02	39.84	0.00	13.26
9.977	6.31	-0.05	39.89	0.00	13.26
10.028	7.99	-0.02	39.89	0.00	13.26
10.077	9.67	-0.05	39.95	0.00	13.26
10.127	9.67	-0.12	40.01	0.00	13.26
10.177	10.79	-0.05	40.07	0.00	13.26
10.227	10.23	-0.02	40.07	0.00	13.26
10.277	9.67	-0.02	40.12	0.00	13.26
10.328	9.11	0.02	40.12	0.00	13.26
10.377	8.55	0.02	40.18	0.00	13.08
10.427	7.43	-0.09	40.18	0.00	13.08
10.477	7.99	0.02	40.24	0.00	13.08
10.527	8.55	-0.09	40.24	0.00	13.08
10.577	9.11	0.02	40.29	0.00	13.08
10.627	9.67	-0.09	40.29	0.00	13.08
10.677	9.11	0.02	40.29	0.00	13.08
10.727	8.55	-0.09	40.35	0.00	13.08
10.777	7.99	-0.05	40.35	0.00	13.08
10.827	7.43	-0.02	40.35	0.00	13.08
10.877	7.43	-0.02	40.41	0.00	13.08
10.927	8.55	0.02	40.41	0.00	13.08
10.977	9.67	-0.02	40.41	0.00	13.02
11.027	9.11	-0.05	40.41	0.00	13.02
11.077	10.23	0.06	40.46	0.00	13.02
11.127	9.67	0.06	40.46	0.00	13.02
11.177	7.99	0.02	40.46	0.00	13.02
11.227	8.55	-0.02	40.46	0.00	13.02
11.277	9.67	-0.02	40.46	0.00	13.02
11.327	8.55	0.09	40.52	0.00	13.02
11.377	7.99	-0.02	40.52	0.00	13.02
11.427	7.99	-0.02	40.52	0.00	13.02
11.478	7.43	0.02	40.52	0.00	13.02
11.527	6.31	-0.05	40.52	0.00	13.02
11.577	7.43	-0.05	40.52	0.00	13.02
11.627	7.43	-0.05	40.52	0.00	11.94
11.677	7.43	-0.02	40.58	0.00	11.94
11.727	6.31	-0.09	40.58	0.00	11.94
11.778	6.87	0.06	40.58	0.00	11.94
11.827	6.31	-0.05	40.58	0.00	11.94
11.877	6.31	0.02	40.58	0.00	11.94
11.927	7.43	-0.09	40.58	0.00	11.94
