tijd	koppel	stroom	spanning	kadans	snelheid
2.330	2.140	0.501	3.778	0.00	0.00
2.414	2.140	0.505	3.778	0.00	0.00
2.493	2.140	0.496	3.778	0.00	0.00
2.574	2.140	0.505	3.778	0.00	0.00
2.658	2.140	0.505	3.778	0.00	0.00
2.737	2.140	0.496	3.778	0.00	0.00
2.818	2.140	0.501	3.774	0.00	0.00
2.900	2.140	0.501	3.778	0.00	0.00
2.977	2.140	0.505	3.778	0.00	0.00
3.056	2.140	0.501	3.778	0.00	0.00
3.137	2.140	0.501	3.783	0.00	0.00
3.214	2.140	0.496	3.778	0.00	0.00
3.299	2.140	0.501	3.778	0.00	0.00
3.376	2.140	0.496	3.778	0.00	0.00
3.453	2.140	0.501	3.778	0.00	0.00
3.535	2.140	0.505	3.778	0.00	0.00
3.612	2.140	0.501	3.778	0.00	0.00
3.690	2.140	0.496	3.778	0.00	0.00
3.771	2.140	0.496	3.778	0.00	0.00
3.848	2.140	0.496	3.778	0.00	0.00
3.926	2.140	0.510	3.778	0.00	0.00
4.006	2.140	0.496	3.778	0.00	0.00
4.083	2.140	0.501	3.778	0.00	0.00
4.161	2.140	0.501	3.778	0.00	0.00
4.243	2.140	0.501	3.778	0.00	0.00
4.320	2.140	0.496	3.778	0.00	0.00
4.398	2.140	0.510	3.778	0.00	0.00
4.483	2.140	0.491	3.778	0.00	0.00
4.560	2.140	0.505	3.778	0.00	0.00
4.641	2.140	0.505	3.774	0.00	0.00
4.718	2.140	0.501	3.778	0.00	0.00
4.796	2.140	0.501	3.778	0.00	0.00
4.878	2.140	0.510	3.778	0.00	0.00
4.955	2.140	0.486	3.778	0.00	0.00
5.032	2.140	0.505	3.778	0.00	0.00
5.114	2.140	0.496	3.778	0.00	0.00
5.191	2.140	0.505	3.778	0.00	0.00
5.284	2.140	0.496	3.778	0.00	0.00
5.366	2.140	0.501	3.778	0.00	0.00
5.443	2.140	0.505	3.774	0.00	0.00
5.521	2.140	0.501	3.778	0.00	0.00
