tijd	koppel	stroom	spanning	kadans	snelheid
2.257	2.120	0.491	3.788	0.00	0.00
2.332	2.125	0.496	3.788	0.00	0.00
2.407	2.125	0.496	3.788	19.04	0.00
2.487	2.125	0.491	3.788	19.04	0.00
2.562	2.130	0.505	3.788	19.04	0.00
2.636	2.130	0.505	3.788	19.04	0.00
2.711	2.130	0.496	3.783	19.04	0.00
2.785	2.130	0.501	3.788	19.04	0.00
2.857	2.135	0.515	3.793	16.34	0.00
2.929	2.154	0.501	3.788	16.34	0.00
3.002	2.159	0.501	3.788	16.34	0.00
3.074	2.164	0.510	3.788	16.34	0.00
3.146	2.154	0.501	3.788	16.34	0.00
3.218	2.140	0.491	3.788	16.34	0.00
3.291	2.144	0.501	3.788	16.34	0.00
3.362	2.130	0.505	3.788	0.00	0.00
3.434	2.140	0.501	3.788	0.00	0.00
3.507	2.144	0.501	3.788	0.00	0.00
3.581	2.154	0.510	3.788	10.34	0.00
3.654	2.149	0.505	3.788	10.34	0.00
3.727	2.154	0.510	3.788	10.34	0.00
3.799	2.154	0.501	3.788	10.34	0.00
3.871	2.144	0.496	3.788	10.34	0.00
3.943	2.144	0.505	3.788	10.34	4.06
4.016	2.149	0.505	3.788	10.34	4.06
4.087	2.144	0.501	3.788	0.00	4.06
4.160	2.149	0.505	3.788	0.00	4.06
4.232	2.149	0.505	3.788	0.00	4.06
4.304	2.149	0.501	3.788	0.00	4.06
4.377	2.154	0.510	3.788	0.00	4.06
4.449	2.149	0.501	3.788	0.00	4.06
4.521	2.144	0.501	3.788	0.00	4.06
4.598	2.140	0.515	3.788	0.00	4.06
4.670	2.159	0.505	3.788	0.00	4.06
4.743	2.169	0.501	3.788	0.00	4.06
4.815	2.223	0.501	3.788	0.00	4.06
4.888	2.164	0.496	3.788	0.00	4.06
4.960	2.144	0.501	3.788	0.00	4.06
5.032	2.130	0.505	3.793	5.41	4.06
5.105	2.125	0.510	3.788	5.41	6.63
5.178	2.135	0.510	3.788	5.41	6.63
5.251	2.179	0.496	3.788	28.20	6.63
5.323	2.228	0.501	3.788	28.20	6.63
5.395	2.247	0.501	3.788	28.20	6.63
5.468	2.252	0.491	3.788	28.20	6.63
