tijd	koppel	stroom	spanning	kadans	snelheid
2.263	2.110	0.501	3.783	35.38	0.00
2.337	2.110	0.525	3.725	35.38	0.00
2.413	2.076	0.766	3.671	35.38	0.00
2.488	2.032	1.045	3.612	31.12	0.00
2.568	2.110	1.286	3.759	31.12	0.00
2.642	2.046	1.026	3.783	31.12	0.00
2.717	2.090	0.967	3.514	32.19	11.16
2.791	2.149	0.977	3.528	32.19	11.16
2.864	2.154	0.854	3.778	32.19	11.16
2.936	2.203	0.785	3.774	36.41	11.16
3.008	2.179	0.761	3.617	36.41	11.16
3.081	2.090	0.731	3.921	41.21	11.16
3.153	1.845	0.692	3.621	41.21	11.16
3.226	1.590	0.736	3.778	41.21	11.16
3.298	1.335	0.716	3.538	43.10	11.16
3.371	1.202	0.716	3.867	43.10	11.16
3.443	1.266	0.658	3.759	44.64	10.66
3.515	1.418	0.618	3.651	44.64	10.66
3.602	1.688	0.530	3.499	45.45	10.66
3.675	1.924	0.535	3.636	45.45	10.66
3.746	2.051	0.545	3.823	48.39	10.66
3.819	2.081	0.559	3.636	48.39	10.66
3.892	2.081	0.525	3.813	50.34	10.66
3.964	2.100	0.555	3.852	50.34	10.66
4.036	2.144	0.535	3.612	50.68	10.66
4.109	2.198	0.550	3.646	50.68	12.61
4.182	2.213	0.530	3.867	50.68	12.61
4.254	2.193	0.530	3.862	50.00	12.61
4.326	2.125	0.535	3.906	50.00	12.61
4.399	1.953	0.550	3.597	50.00	12.61
4.471	1.732	0.530	3.597	50.00	12.61
4.548	1.590	0.535	3.617	52.82	12.61
4.621	1.565	0.520	3.626	54.74	13.45
4.694	1.629	0.530	3.769	54.74	13.45
4.766	1.855	0.515	3.572	53.96	13.45
4.839	1.997	0.535	3.842	53.96	13.45
4.912	2.095	0.515	3.926	55.15	13.45
4.984	2.105	0.520	3.847	55.15	13.45
5.057	2.140	0.535	3.626	56.39	13.45
5.130	2.189	0.515	3.563	56.39	13.45
5.202	2.228	0.535	3.661	57.69	14.39
5.275	2.233	0.525	3.877	57.69	14.39
5.348	2.179	0.530	3.617	55.97	14.39
5.421	2.135	0.525	3.563	55.97	14.39
5.493	2.007	0.535	3.636	55.56	14.39
5.569	1.879	0.530	3.926	54.74	14.39
5.642	1.865	0.525	3.783	54.74	14.39
5.714	1.830	0.540	3.940	54.74	14.83
5.787	1.693	0.520	3.832	54.74	14.83
5.860	1.664	0.525	3.862	54.74	14.83
5.963	1.713	0.515	3.661	54.74	14.83
6.036	1.708	0.501	3.759	54.74	14.83
6.109	1.762	0.496	3.759	0.00	14.83
6.181	1.801	0.505	3.759	0.00	14.83
6.253	1.821	0.496	3.764	0.00	15.21
6.326	1.850	0.496	3.759	0.00	15.21
6.398	1.850	0.496	3.764	9.11	15.21
6.471	1.884	0.505	3.764	9.11	15.21
6.544	1.914	0.505	3.764	9.11	15.21
6.620	1.875	0.505	3.764	9.11	15.21
6.692	1.860	0.510	3.764	9.11	15.21
6.765	1.909	0.496	3.769	9.11	14.45
6.838	1.899	0.505	3.769	9.11	14.45
6.910	1.865	0.501	3.769	0.00	14.45
6.983	1.855	0.510	3.769	0.00	14.45
7.056	1.870	0.491	3.769	0.00	14.45
7.128	1.884	0.491	3.769	0.00	14.45
