tijd	koppel	stroom	spanning	kadans	snelheid
2.332	2.120	0.501	3.813	0.00	0.00
2.415	2.120	0.501	3.813	0.00	0.00
2.499	2.125	0.505	3.813	0.00	0.00
2.582	2.125	0.501	3.813	0.00	0.00
2.661	2.130	0.491	3.808	0.00	0.00
2.747	2.135	0.496	3.808	0.00	0.00
2.830	2.135	0.501	3.808	0.00	0.00
2.907	2.130	0.501	3.808	0.00	0.00
2.983	2.120	0.501	3.808	0.00	0.00
3.063	2.125	0.515	3.813	0.00	0.00
3.139	2.169	0.510	3.813	0.00	0.00
3.217	2.218	0.496	3.813	0.00	0.00
3.297	2.149	0.501	3.813	0.00	0.00
3.373	2.159	0.496	3.813	5.74	0.00
3.449	2.105	0.510	3.813	5.74	0.00
3.530	2.100	0.496	3.808	35.55	0.00
3.606	2.169	0.496	3.813	35.55	0.00
3.690	2.198	0.501	3.813	35.55	0.00
3.766	2.179	0.505	3.813	36.59	0.00
3.844	2.193	0.501	3.813	36.59	0.00
3.923	2.041	0.505	3.813	41.67	0.00
3.999	1.776	0.510	3.813	41.67	0.00
4.077	1.462	0.520	3.803	44.38	0.00
4.158	1.168	0.520	3.896	44.38	0.00
4.233	1.084	0.510	3.778	44.38	0.00
4.311	1.183	0.515	3.646	43.60	0.00
4.391	1.423	0.515	3.666	43.60	0.00
4.467	1.693	0.525	3.651	44.64	0.00
4.544	2.002	0.515	3.617	44.64	0.00
4.624	2.135	0.520	3.671	50.00	0.00
4.700	2.110	0.515	3.886	50.00	0.00
4.785	2.130	0.520	3.818	53.19	0.00
4.861	2.140	0.520	3.931	52.08	0.00
4.954	2.208	0.515	3.666	52.08	0.00
5.033	2.208	0.530	3.921	52.45	0.00
5.109	2.110	0.520	3.803	52.45	0.00
5.187	1.879	0.520	3.636	55.15	0.00
5.267	1.477	0.520	3.926	56.82	0.00
5.343	1.305	0.520	3.710	56.82	0.00
5.420	1.335	0.505	3.572	55.97	0.00
5.500	1.560	0.510	3.739	55.97	0.00
5.576	1.870	0.510	3.646	57.69	0.00
5.653	2.081	0.515	3.798	61.48	0.00
5.734	2.081	0.525	3.828	61.48	0.00
5.810	2.086	0.520	3.985	63.03	0.00
5.894	2.081	0.510	3.729	62.50	0.00
5.970	2.130	0.510	3.823	62.50	0.00
6.047	2.154	0.515	3.700	60.98	0.00
6.128	2.095	0.520	3.832	60.98	0.00
6.204	1.855	0.520	3.896	61.98	0.00
6.281	1.605	0.505	3.543	63.03	0.00
6.361	1.585	0.515	3.842	63.03	0.00
6.436	1.664	0.510	3.690	65.22	0.00
6.514	1.894	0.515	3.823	64.66	0.00
6.594	2.022	0.520	3.882	65.22	0.00
6.670	2.105	0.510	3.656	65.22	0.00
6.747	2.159	0.520	3.803	65.22	0.00
6.828	2.169	0.525	3.828	65.22	0.00
6.903	2.208	0.525	3.700	65.22	0.00
6.988	2.203	0.515	3.945	65.22	0.00
7.064	2.149	0.525	3.813	64.66	0.00
7.141	2.046	0.510	3.793	64.66	0.00
7.222	1.978	0.515	3.793	64.66	0.00
7.298	1.924	0.525	3.818	65.79	0.00
7.374	1.909	0.520	3.607	65.79	0.00
7.454	2.002	0.505	3.661	64.66	0.00
7.530	2.051	0.520	3.936	64.10	0.00
7.608	2.140	0.510	3.783	64.10	0.00
7.689	2.189	0.515	3.877	65.22	0.00
7.764	2.213	0.520	3.754	64.10	0.00
7.841	2.228	0.510	3.882	64.10	0.00
7.922	2.203	0.520	3.823	65.22	0.00
7.998	2.125	0.525	3.828	62.50	0.00
8.075	1.958	0.510	3.882	62.50	0.00
8.159	1.904	0.520	3.955	62.50	0.00
8.236	1.875	0.520	3.877	64.66	0.00
8.331	1.914	0.510	3.911	64.66	0.00
8.407	2.002	0.515	3.690	64.10	0.00
8.484	2.076	0.505	3.636	63.03	0.00
8.571	2.159	0.515	3.882	63.03	0.00
8.647	2.189	0.515	3.636	62.50	0.00
8.724	2.213	0.520	3.931	62.50	0.00
8.805	2.203	0.515	3.803	62.50	0.00
8.881	2.198	0.510	3.700	63.56	0.00
8.957	2.100	0.510	3.661	63.56	0.00
9.037	1.987	0.520	3.597	63.56	0.00
9.113	1.899	0.530	3.636	61.48	0.00
9.191	1.840	0.530	3.877	61.98	0.00
9.292	1.860	0.515	3.877	61.98	0.00
9.370	1.992	0.520	3.823	61.98	0.00
9.449	2.076	0.525	3.823	62.50	0.00
9.529	2.086	0.520	3.916	62.50	0.00
9.606	2.120	0.515	3.587	63.03	0.00
9.684	2.144	0.510	3.911	62.50	0.00
9.764	2.179	0.515	3.877	62.50	0.00
9.842	2.193	0.520	3.813	63.56	0.00
9.921	2.022	0.515	3.901	65.22	0.00
10.001	1.722	0.515	3.651	65.22	0.00
10.079	1.575	0.520	3.666	65.22	0.00
10.158	1.639	0.525	3.823	66.37	0.00
10.237	1.850	0.510	3.906	64.66	0.00
10.315	2.022	0.515	3.656	64.66	0.00
10.399	2.100	0.510	3.700	66.37	0.00
10.478	2.149	0.515	3.710	66.96	0.00
10.558	2.164	0.520	3.685	66.96	0.00
10.636	2.203	0.520	3.828	66.37	0.00
10.716	2.198	0.505	3.862	66.37	0.00
10.796	2.110	0.515	3.906	66.37	0.00
10.873	1.899	0.520	3.867	65.79	0.00
10.953	1.664	0.520	3.803	66.37	0.00
11.033	1.629	0.515	3.945	66.96	0.00
11.111	1.767	0.520	3.710	66.96	0.00
11.191	1.953	0.520	3.818	65.79	0.00
11.271	2.056	0.505	3.896	68.18	0.00
11.348	2.090	0.515	3.626	68.18	0.00
11.427	2.130	0.515	3.798	69.44	0.00
11.511	2.169	0.510	3.886	70.09	0.00
11.591	2.179	0.515	3.798	68.81	0.00
11.684	2.090	0.510	3.862	67.57	0.00
11.764	1.850	0.505	3.675	67.57	0.00
11.844	1.614	0.501	3.862	68.81	0.00
11.922	1.619	0.515	3.818	72.82	0.00
12.001	1.786	0.510	3.769	72.82	0.00
12.081	2.017	0.515	3.852	70.09	0.00
12.166	2.198	0.520	3.823	70.09	0.00
12.246	2.198	0.505	3.823	72.82	0.00
12.325	2.233	0.505	3.675	73.53	0.00
12.403	2.223	0.525	3.862	73.53	0.00
12.482	2.179	0.520	3.832	72.82	0.00
12.563	2.022	0.505	3.891	70.75	0.00
12.647	1.776	0.510	3.783	71.43	0.00
12.725	1.767	0.520	3.813	71.43	0.00
12.804	1.762	0.520	3.818	74.26	0.00
12.883	2.002	0.510	3.803	72.12	0.00
12.961	2.110	0.515	3.818	70.75	0.00
13.041	2.125	0.510	3.641	72.82	0.00
13.121	2.100	0.515	3.823	72.82	0.00
13.199	2.203	0.510	3.612	71.43	0.00
13.279	2.193	0.515	3.808	74.26	0.00
13.359	2.086	0.520	3.872	74.26	0.00
13.436	1.796	0.515	3.813	74.26	0.00
13.515	1.605	0.510	3.823	72.82	0.00
13.596	1.668	0.501	3.656	75.76	0.00
13.675	1.884	0.505	3.631	75.76	0.00
13.804	2.154	0.515	3.626	73.53	0.00
13.876	2.169	0.505	3.852	75.76	0.00
13.947	2.189	0.510	3.533	75.76	0.00
14.019	2.228	0.510	3.818	75.76	0.00
14.091	2.198	0.505	3.867	75.76	0.00
14.163	2.110	0.510	3.852	75.00	0.00
14.235	1.924	0.515	3.685	75.00	0.00
14.307	1.742	0.515	3.906	73.53	0.00
14.379	1.732	0.515	3.587	76.53	0.00
14.450	1.894	0.515	3.774	75.76	0.00
14.522	2.027	0.505	3.543	75.76	0.00
14.595	2.086	0.510	3.666	55.97	0.00
14.666	2.056	0.520	3.882	55.97	0.00
14.741	1.978	0.510	3.867	55.97	0.00
14.813	1.953	0.515	3.872	55.97	0.00
14.884	2.007	0.510	3.803	55.97	0.00
14.957	2.041	0.496	3.803	55.97	0.00
15.029	2.017	0.505	3.803	55.97	0.00
15.100	1.997	0.501	3.808	0.00	0.00
15.172	1.997	0.505	3.808	0.00	0.00
15.244	2.012	0.501	3.803	0.00	0.00
15.315	2.007	0.501	3.808	0.00	0.00
15.400	2.007	0.496	3.803	0.00	0.00
15.472	2.002	0.510	3.808	0.00	0.00
15.545	2.007	0.520	3.808	0.00	0.00
