tijd	koppel	stroom	spanning	kadans	snelheid
2.270	1.394	0.501	3.793	30.99	0.00
2.343	1.595	0.505	3.793	30.99	0.00
2.422	1.771	0.496	3.793	30.99	0.00
2.497	1.958	0.501	3.793	30.99	0.00
2.572	2.086	0.505	3.798	23.89	0.00
2.646	2.140	0.520	3.783	23.89	0.00
2.720	2.184	0.726	3.641	23.89	0.00
2.794	2.203	1.369	3.587	23.89	0.00
2.866	2.203	1.222	3.729	23.89	0.00
2.937	2.189	1.345	3.469	21.87	0.00
3.009	2.208	1.590	3.484	21.87	0.00
3.082	2.174	1.673	3.499	21.87	0.00
3.153	2.120	1.502	3.538	21.87	0.00
3.225	2.213	1.492	3.420	28.41	0.00
3.297	2.198	1.006	3.474	28.41	0.00
3.368	2.252	0.972	3.381	28.41	0.00
3.444	2.247	1.021	3.514	30.86	0.00
3.516	2.208	0.824	3.671	30.86	0.00
3.588	2.159	0.878	3.509	30.86	0.00
3.659	2.061	0.864	3.533	34.56	0.00
3.731	1.938	0.888	3.725	34.56	0.00
3.803	1.781	0.790	3.675	34.56	0.00
3.875	1.757	0.937	3.523	35.21	0.00
3.947	1.722	0.932	3.558	35.21	0.00
4.019	1.703	0.815	3.469	35.21	0.00
4.090	1.713	0.766	3.891	36.41	0.00
4.162	1.708	0.692	3.401	36.41	0.00
4.234	1.757	0.707	3.489	36.41	0.00
4.306	1.875	0.761	3.680	37.31	0.00
4.378	2.012	0.667	3.685	37.31	0.00
4.453	2.071	0.672	3.690	37.31	0.00
4.525	2.081	0.800	3.528	37.31	0.00
4.598	2.027	0.790	3.734	37.31	0.00
4.670	1.968	0.721	3.749	37.31	0.00
4.742	1.992	0.810	3.523	37.31	0.00
4.813	2.022	0.692	3.430	0.00	0.00
4.885	2.012	0.496	3.651	0.00	0.00
4.957	2.012	0.501	3.656	0.00	0.00
5.028	2.007	0.505	3.666	0.00	0.00
5.100	1.992	0.501	3.666	0.00	0.00
5.172	1.997	0.496	3.671	0.00	0.00
5.260	2.002	0.510	3.675	0.00	0.00
5.331	1.997	0.505	3.680	0.00	0.00
5.403	1.987	0.501	3.685	0.00	0.00
