tijd	koppel	stroom	spanning	kadans	snelheid
2.249	2.159	0.496	3.813	35.55	0.00
2.331	2.130	0.501	3.813	35.55	0.00
2.413	2.105	0.501	3.813	35.55	0.00
2.493	2.130	0.496	3.813	36.76	0.00
2.575	2.189	0.510	3.818	36.76	14.03
2.657	2.208	0.515	3.828	36.06	14.03
2.737	2.198	0.520	3.847	36.06	14.03
2.819	2.041	0.501	3.636	43.35	14.03
2.898	1.722	0.520	3.744	43.35	14.03
2.976	1.394	0.530	3.661	42.13	14.03
3.060	1.119	0.520	3.641	42.13	14.03
3.139	1.030	0.545	3.769	42.13	14.03
3.219	1.163	0.525	3.940	41.67	14.03
3.297	1.462	0.530	3.749	41.67	14.03
3.377	1.664	0.530	4.009	41.90	9.92
3.457	1.948	0.510	3.832	41.90	9.92
3.534	2.105	0.501	3.965	46.88	9.92
3.613	2.110	0.520	3.901	46.88	9.92
3.744	2.174	0.535	3.788	53.19	9.92
3.816	2.174	0.530	3.999	51.37	9.92
3.888	2.282	0.520	3.886	51.37	9.92
3.960	2.243	0.535	3.769	52.08	9.92
4.032	2.174	0.510	3.680	52.08	9.92
4.104	1.992	0.530	3.690	52.82	9.92
4.178	1.693	0.520	3.828	52.82	9.92
4.250	1.453	0.515	3.911	55.56	9.92
4.322	1.374	0.515	4.034	55.56	9.92
4.393	1.399	0.520	3.626	55.97	9.92
4.466	1.649	0.520	3.950	55.97	9.92
4.538	1.919	0.510	3.695	55.15	9.92
4.610	2.159	0.515	3.896	58.59	6.32
4.681	2.154	0.515	3.837	58.59	6.32
4.754	2.149	0.510	3.940	60.98	6.32
4.832	2.198	0.510	4.004	60.98	6.32
4.903	2.218	0.520	3.852	60.00	6.32
4.975	2.179	0.520	3.592	60.48	6.32
5.047	2.223	0.525	3.823	60.48	6.32
5.118	2.032	0.525	3.828	61.48	6.32
5.194	1.747	0.520	3.921	61.48	6.32
5.266	1.610	0.505	3.828	62.50	6.32
5.338	1.546	0.505	3.872	64.10	6.32
5.426	1.683	0.510	3.896	64.10	6.32
5.498	1.850	0.525	3.886	61.48	6.32
5.570	2.041	0.515	3.823	61.48	6.32
5.642	2.110	0.520	3.867	63.03	7.32
5.713	2.115	0.510	3.872	65.79	7.32
5.785	2.130	0.525	3.823	65.79	7.32
5.857	2.257	0.525	3.808	65.22	7.32
5.928	2.247	0.515	3.837	64.66	7.32
6.000	2.125	0.525	3.798	64.66	7.32
6.073	2.012	0.505	3.980	63.56	7.32
6.145	1.806	0.505	3.725	63.56	7.32
6.219	1.634	0.520	3.832	65.79	7.32
6.291	1.639	0.510	3.828	66.96	7.32
6.363	1.732	0.525	3.828	66.96	7.32
6.434	1.987	0.510	3.896	65.79	7.32
6.506	2.135	0.515	3.828	65.79	7.32
6.579	2.184	0.505	3.818	65.79	7.32
6.650	2.203	0.515	3.867	68.18	7.80
6.722	2.243	0.510	3.828	68.81	7.80
6.794	2.203	0.515	3.680	68.81	7.80
6.865	2.213	0.505	3.872	67.57	7.80
6.937	2.110	0.515	3.651	68.81	7.80
7.009	1.865	0.510	3.891	68.81	7.80
7.080	1.693	0.510	3.975	68.81	7.80
7.152	1.703	0.505	3.852	70.09	7.80
7.228	1.717	0.510	3.823	70.09	7.80
7.300	1.919	0.515	3.828	68.81	7.80
7.371	2.066	0.515	3.862	67.57	7.80
7.443	2.247	0.515	3.906	67.57	7.80
7.515	2.184	0.520	3.882	71.43	7.80
7.586	2.198	0.515	3.916	69.44	8.17
7.658	2.277	0.515	3.832	69.44	8.17
7.730	2.218	0.501	3.626	70.09	8.17
7.802	2.051	0.505	3.950	72.12	8.17
7.874	1.860	0.515	3.626	72.12	8.17
7.946	1.737	0.510	3.631	69.44	8.17
8.017	1.727	0.525	3.793	72.12	8.17
8.089	1.889	0.520	3.828	72.12	8.17
8.161	1.909	0.510	3.823	67.57	8.17
8.232	1.914	0.515	3.901	67.57	8.17
8.308	1.727	0.520	3.862	67.57	8.17
8.380	1.629	0.510	3.661	67.57	8.17
8.466	1.796	0.510	3.813	67.57	8.17
8.538	1.845	0.505	3.808	18.89	8.17
8.609	1.752	0.496	3.813	18.89	8.17
8.682	1.776	0.496	3.813	18.89	8.17
8.754	1.924	0.496	3.808	18.89	8.17
8.825	1.904	0.496	3.813	18.89	8.17
8.897	1.938	0.501	3.813	18.89	8.17
8.969	1.958	0.501	3.813	18.89	8.17
9.040	1.978	0.505	3.813	0.00	8.17
9.112	1.953	0.501	3.813	0.00	8.17
9.184	1.938	0.496	3.813	0.00	8.17
9.255	1.953	0.505	3.808	0.00	8.17
9.330	1.938	0.505	3.813	0.00	8.17
9.402	1.992	0.505	3.813	8.98	8.17
9.474	2.090	0.505	3.818	8.98	8.17
9.545	2.130	0.505	3.808	56.82	8.17
9.617	2.149	0.510	3.813	71.43	0.00
9.689	2.208	0.510	3.813	70.09	0.00
9.760	2.267	0.510	3.808	70.09	0.00
9.832	2.228	0.501	3.631	70.75	0.00
9.904	2.100	0.505	3.828	71.43	0.00
9.975	1.933	0.510	3.828	71.43	0.00
10.047	1.698	0.510	3.823	71.43	0.00
10.119	1.649	0.520	3.823	72.12	0.00
10.190	1.791	0.510	3.867	72.12	0.00
10.263	1.978	0.520	3.886	71.43	0.00
10.338	2.125	0.515	3.813	72.82	0.00
10.409	2.164	0.520	3.803	72.82	0.00
10.481	2.277	0.515	3.607	60.98	0.00
10.553	2.233	0.515	3.832	73.53	0.00
10.625	2.257	0.515	3.587	73.53	0.00
10.696	2.218	0.510	3.901	72.12	0.00
10.768	2.095	0.505	3.896	72.12	0.00
10.840	2.066	0.520	3.882	72.12	0.00
10.911	1.914	0.515	3.872	56.39	0.00
10.983	1.943	0.520	3.837	56.39	0.00
11.055	1.963	0.520	3.862	56.39	0.00
11.126	1.948	0.505	3.847	56.39	0.00
11.198	1.973	0.510	3.926	30.00	0.00
11.270	1.973	0.510	3.872	30.00	0.00
11.345	1.953	0.520	3.832	30.00	0.00
11.432	1.973	0.520	3.823	30.00	0.00
11.504	1.987	0.505	3.842	24.67	0.00
11.576	1.997	0.520	3.931	24.67	0.00
11.648	2.012	0.515	3.646	24.67	0.00
11.719	1.968	0.501	3.808	24.67	0.00
11.791	1.968	0.510	3.813	24.67	0.00
11.863	1.982	0.496	3.813	24.67	0.00
11.935	1.958	0.496	3.808	24.67	0.00
12.007	1.987	0.491	3.813	0.00	0.00
12.078	1.992	0.501	3.813	0.00	0.00
12.149	1.958	0.501	3.813	0.00	0.00
12.221	1.968	0.505	3.813	0.00	0.00
12.293	2.007	0.510	3.813	0.00	0.00
12.368	1.973	0.505	3.813	0.00	0.00
12.440	1.973	0.505	3.818	0.00	0.00
12.511	2.022	0.510	3.818	0.00	0.00
12.582	2.012	0.505	3.813	0.00	0.00
12.654	1.968	0.501	3.813	0.00	0.00
12.726	2.027	0.505	3.813	0.00	0.00
12.797	1.997	0.501	3.818	0.00	0.00
12.869	1.973	0.501	3.813	0.00	0.00
12.941	1.997	0.505	3.813	0.00	0.00
13.012	1.992	0.510	3.813	0.00	0.00
13.084	1.978	0.505	3.813	0.00	0.00
13.156	2.007	0.501	3.818	0.00	0.00
13.228	1.997	0.496	3.813	0.00	0.00
13.299	1.997	0.515	3.813	0.00	0.00
13.374	1.997	0.505	3.813	0.00	0.00
13.446	2.007	0.505	3.813	0.00	0.00
13.517	2.007	0.505	3.818	0.00	0.00
13.589	1.997	0.505	3.813	0.00	0.00
13.661	1.982	0.501	3.813	0.00	0.00
13.732	1.997	0.501	3.818	0.00	0.00
13.804	1.987	0.501	3.818	0.00	0.00
13.876	1.982	0.501	3.813	0.00	0.00
13.946	1.997	0.501	3.813	0.00	0.00
14.018	1.987	0.505	3.813	0.00	0.00
14.090	1.953	0.505	3.813	0.00	0.00
14.161	1.982	0.510	3.813	0.00	0.00
14.233	1.997	0.501	3.813	0.00	0.00
14.305	1.973	0.505	3.813	0.00	0.00
14.380	1.992	0.501	3.813	0.00	0.00
14.467	2.051	0.505	3.818	0.00	0.00
14.538	2.140	0.496	3.818	2.45	0.00
14.610	2.140	0.505	3.813	2.45	0.00
14.682	2.159	0.505	3.813	62.50	0.00
14.753	2.203	0.501	3.813	62.50	0.00
14.825	2.252	0.505	3.818	52.82	0.00
14.897	2.238	0.510	3.813	52.82	0.00
14.968	2.198	0.496	3.813	53.57	0.00
15.040	2.120	0.501	3.813	53.57	0.00
15.112	1.953	0.515	3.823	53.96	0.00
15.183	1.752	0.505	3.950	53.96	0.00
15.255	1.649	0.510	3.661	53.96	0.00
15.327	1.654	0.520	3.906	56.82	0.00
15.401	1.673	0.515	3.798	56.82	0.00
15.473	1.948	0.515	3.842	57.69	0.00
15.545	2.046	0.505	3.832	57.69	0.00
15.617	2.100	0.520	3.936	59.52	0.00
15.688	2.120	0.510	3.661	63.03	0.00
15.760	2.135	0.515	3.769	63.03	0.00
15.832	2.159	0.515	3.837	62.50	0.00
15.903	2.198	0.515	3.837	62.50	0.00
15.975	2.218	0.510	3.921	63.03	0.00
16.047	2.159	0.520	3.641	65.22	0.00
16.118	1.938	0.520	3.832	65.22	0.00
16.191	1.708	0.515	3.778	68.81	0.00
16.263	1.649	0.510	3.832	68.18	0.00
16.334	1.644	0.520	3.823	68.18	0.00
16.409	1.953	0.515	3.793	66.96	0.00
16.481	2.051	0.515	3.828	66.96	0.00
16.552	2.140	0.515	3.823	66.96	0.87
16.630	2.203	0.515	3.739	69.44	0.87
16.702	2.243	0.510	3.538	68.81	0.87
16.774	2.257	0.520	3.911	68.81	0.87
16.845	2.169	0.501	3.783	70.75	0.87
16.917	2.090	0.520	3.823	70.75	0.87
16.989	1.806	0.515	3.828	70.75	0.87
17.060	1.668	0.515	3.828	68.18	0.87
17.132	1.536	0.515	3.872	72.82	0.87
17.204	1.600	0.510	3.666	72.82	0.87
17.275	1.889	0.520	3.813	73.53	0.87
17.347	2.095	0.515	3.828	70.09	0.87
17.438	2.164	0.510	3.808	75.76	0.87
17.510	2.213	0.520	3.823	75.76	0.87
17.582	2.218	0.520	3.847	72.82	0.87
17.653	2.247	0.515	3.631	72.12	0.87
17.725	2.110	0.515	3.916	72.12	0.87
17.797	1.997	0.515	3.793	68.18	0.87
17.868	1.747	0.525	3.823	72.82	0.87
17.941	1.698	0.520	3.872	72.82	0.87
18.013	1.580	0.515	3.857	73.53	0.87
18.084	1.879	0.515	3.759	75.00	0.87
18.156	2.051	0.525	3.832	75.00	0.87
18.228	2.203	0.510	3.823	74.26	0.87
18.299	2.095	0.510	3.680	74.26	0.87
18.371	2.095	0.515	3.621	75.76	0.87
18.446	2.292	0.510	3.778	75.76	0.87
18.518	2.154	0.515	3.823	75.76	0.00
18.589	2.051	0.520	3.823	76.53	0.00
18.661	1.688	0.515	3.617	75.00	0.00
18.733	1.762	0.515	3.597	75.00	0.00
18.804	1.776	0.510	3.891	75.76	0.00
18.876	1.963	0.515	3.847	76.53	0.00
18.948	2.100	0.515	3.837	76.53	0.00
19.019	2.130	0.510	3.626	75.00	0.00
19.091	2.164	0.510	3.832	76.53	0.00
19.163	2.228	0.505	3.857	76.53	0.00
19.234	2.228	0.510	3.857	76.53	0.00
19.306	2.208	0.510	3.857	76.53	0.00
19.378	2.041	0.510	3.877	78.95	0.00
19.452	1.845	0.515	3.818	79.79	0.00
19.524	1.732	0.510	3.857	79.79	0.00
19.596	1.771	0.510	3.818	79.79	0.00
19.667	1.997	0.501	3.705	78.12	0.00
19.739	2.086	0.520	3.646	75.76	0.00
19.811	2.130	0.525	3.882	75.76	0.00
19.883	2.159	0.510	3.538	78.95	0.00
19.954	2.218	0.515	3.636	78.12	0.00
20.026	2.208	0.520	3.882	78.12	0.00
20.098	2.130	0.505	3.567	78.12	0.00
20.169	2.066	0.510	3.798	77.32	0.00
20.241	1.855	0.520	3.705	81.52	0.00
20.313	1.727	0.515	3.852	75.76	0.00
20.384	1.889	0.515	3.916	75.76	0.00
20.475	2.086	0.515	3.882	75.76	0.00
20.547	2.184	0.505	3.877	78.12	0.00
20.619	2.277	0.510	3.685	83.33	0.00
20.690	2.193	0.515	3.818	79.79	0.00
20.762	2.208	0.520	3.774	79.79	0.00
20.834	2.228	0.515	3.823	77.32	0.00
20.905	2.105	0.510	3.852	76.53	0.00
20.977	2.051	0.510	3.818	76.53	0.00
21.049	1.997	0.515	3.823	48.08	0.00
21.121	1.914	0.505	3.916	48.08	0.00
21.192	1.933	0.510	3.862	48.08	0.00
21.264	1.948	0.505	3.862	48.08	0.00
21.336	1.894	0.515	3.906	48.08	0.00
21.410	1.938	0.501	3.808	21.13	0.00
21.482	1.982	0.505	3.813	21.13	0.00
21.554	1.963	0.505	3.808	21.13	0.00
21.625	1.958	0.510	3.818	21.13	0.00
21.697	1.997	0.515	3.808	30.61	0.00
21.769	2.066	0.505	3.813	30.61	0.00
21.840	2.056	0.491	3.813	30.61	0.00
21.912	1.987	0.505	3.813	30.61	0.00
21.984	2.041	0.505	3.813	21.68	0.00
22.055	1.987	0.501	3.813	21.68	0.00
22.127	1.997	0.496	3.813	21.68	0.00
22.199	1.978	0.501	3.813	21.68	0.00
22.270	2.036	0.501	3.808	21.68	0.00
22.342	1.992	0.510	3.813	21.68	0.00
22.417	2.002	0.505	3.813	16.93	0.00
22.489	2.022	0.505	3.813	16.93	0.00
22.560	2.007	0.501	3.818	16.93	0.00
22.632	1.963	0.505	3.813	16.93	0.00
22.704	2.017	0.510	3.818	16.93	0.00
22.775	1.997	0.510	3.813	16.93	0.00
22.847	1.987	0.505	3.818	16.93	0.00
22.919	1.973	0.510	3.813	0.00	0.00
22.989	2.022	0.501	3.813	0.00	0.00
23.061	1.978	0.505	3.813	0.00	0.00
23.133	1.978	0.505	3.813	0.00	0.00
23.204	2.036	0.501	3.808	0.00	0.00
23.276	1.997	0.505	3.818	0.00	0.00
23.348	1.968	0.505	3.813	0.00	0.00
23.438	2.027	0.505	3.808	0.00	0.00
23.510	1.982	0.505	3.813	0.00	0.00
23.581	1.973	0.505	3.813	0.00	0.00
23.653	2.022	0.510	3.818	0.00	0.00
23.725	1.938	0.505	3.818	0.00	0.00
23.795	2.017	0.501	3.813	0.00	0.00
23.867	2.041	0.501	3.818	0.00	0.00
23.939	1.982	0.510	3.813	0.00	0.00
24.010	1.938	0.510	3.818	0.00	0.00
24.082	2.036	0.510	3.813	0.00	0.00
24.154	2.007	0.515	3.813	0.00	0.00
24.225	1.943	0.501	3.813	0.00	0.00
24.297	1.997	0.501	3.813	0.00	0.00
24.368	1.982	0.501	3.813	0.00	0.00
24.439	1.938	0.501	3.818	0.00	0.00
24.514	1.879	0.501	3.813	0.00	0.00
24.586	1.894	0.505	3.813	0.00	0.00
24.657	1.938	0.505	3.813	0.00	0.00
24.729	1.909	0.496	3.813	0.00	0.00
24.801	1.845	0.515	3.813	0.00	0.00
24.872	1.865	0.501	3.813	0.00	0.00
24.943	1.875	0.496	3.818	0.00	0.00
25.015	1.850	0.501	3.818	2.93	0.00
25.086	1.904	0.505	3.813	2.93	0.00
25.158	1.884	0.505	3.813	2.93	0.00
25.230	1.924	0.505	3.813	2.93	0.00
25.302	1.924	0.501	3.818	2.93	0.00
25.373	1.909	0.501	3.818	2.93	0.00
25.445	1.919	0.510	3.813	2.93	0.00
25.520	1.894	0.510	3.818	0.00	0.00
25.591	1.973	0.505	3.818	0.00	0.00
25.663	1.938	0.510	3.818	0.00	0.00
25.735	1.938	0.505	3.813	0.00	0.00
25.805	1.889	0.501	3.818	0.00	0.00
25.877	1.968	0.501	3.818	0.00	0.00
25.949	1.904	0.510	3.813	0.00	0.00
26.020	1.924	0.501	3.813	0.00	0.00
26.092	1.953	0.505	3.818	0.00	0.00
26.164	1.948	0.501	3.818	0.00	0.00
26.235	1.958	0.505	3.818	0.00	0.00
26.306	1.933	0.505	3.813	0.00	0.00
26.378	1.958	0.505	3.813	0.00	0.00
26.466	2.002	0.505	3.813	0.00	0.00
26.541	2.120	0.505	3.813	4.85	0.00
26.612	2.086	0.505	3.813	4.85	0.00
26.683	2.267	0.505	3.813	79.79	0.00
26.755	2.272	0.505	3.818	70.09	0.00
26.826	2.238	0.505	3.818	70.09	0.00
26.898	2.159	0.505	3.818	70.09	0.00
26.970	2.036	0.496	3.813	69.44	0.00
27.041	1.786	0.496	3.813	69.44	0.00
27.113	1.629	0.501	3.823	66.96	0.00
27.185	1.585	0.505	3.867	70.09	0.00
27.256	1.717	0.505	3.823	70.09	0.00
27.328	2.061	0.515	3.823	70.09	0.00
27.400	2.100	0.505	3.886	68.18	0.00
27.471	2.095	0.520	3.641	68.18	0.00
27.546	2.100	0.520	3.803	68.18	0.00
27.618	2.297	0.510	3.602	66.96	0.00
27.689	2.311	0.515	3.823	66.96	0.00
27.761	2.184	0.515	3.602	70.09	0.00
27.833	2.056	0.515	3.818	69.44	0.00
27.904	1.816	0.510	3.783	69.44	0.00
27.975	1.565	0.510	3.803	65.79	0.00
28.047	1.556	0.525	3.882	69.44	0.00
28.119	1.727	0.525	3.828	69.44	0.00
28.196	1.909	0.515	3.764	68.81	0.00
28.268	2.120	0.510	3.886	68.81	0.00
28.340	2.174	0.510	3.553	68.81	0.00
28.411	2.198	0.510	3.828	70.09	0.00
28.483	2.257	0.520	3.823	70.09	0.00
28.558	2.203	0.510	3.862	70.09	0.00
28.630	2.213	0.510	3.940	68.18	0.00
28.701	2.115	0.520	3.926	67.57	0.00
28.773	1.968	0.510	3.911	67.57	0.00
28.846	1.825	0.525	3.828	67.57	0.00
28.916	1.757	0.520	3.656	68.18	0.00
28.988	1.830	0.525	3.921	68.18	0.00
29.060	1.997	0.515	3.788	68.81	0.00
29.131	2.100	0.525	3.666	65.22	0.00
29.203	2.159	0.520	3.950	65.22	0.00
29.275	2.203	0.520	3.945	65.79	0.00
