tijd	koppel	stroom	spanning	kadans	snelheid
2.250	2.105	0.503	3.765	0.00	0.00
2.325	2.095	0.505	3.754	0.00	0.00
2.401	2.095	0.496	3.754	0.00	0.00
2.476	2.095	0.496	3.749	0.00	0.00
2.551	2.095	0.496	3.754	0.00	0.00
2.627	2.095	0.505	3.754	0.00	0.00
2.702	2.095	0.496	3.754	0.00	0.00
2.778	2.095	0.496	3.754	0.00	0.00
2.850	2.090	0.496	3.754	0.00	0.00
2.921	2.095	0.520	3.749	0.00	0.00
2.994	2.095	0.501	3.749	0.00	0.00
3.067	2.095	0.505	3.754	0.00	0.00
3.140	2.090	0.510	3.754	0.00	7.22
3.213	2.095	0.496	3.749	0.00	7.22
3.287	2.090	0.496	3.749	0.00	7.22
3.359	2.095	0.501	3.754	0.00	7.22
3.433	2.095	0.505	3.749	0.00	7.22
3.506	2.095	0.501	3.749	0.00	7.22
3.579	2.095	0.501	3.754	0.00	7.22
3.652	2.090	0.496	3.749	0.00	7.22
3.726	2.095	0.501	3.754	0.00	7.22
3.799	2.095	0.515	3.749	0.00	7.22
3.871	2.090	0.505	3.749	0.00	7.22
3.948	2.090	0.491	3.749	0.00	7.22
4.021	2.095	0.496	3.754	0.00	7.22
4.094	2.095	0.486	3.754	0.00	7.22
4.167	2.095	0.496	3.754	0.00	7.22
4.241	2.095	0.491	3.749	0.00	7.22
4.314	2.090	0.505	3.754	0.00	7.22
4.386	2.090	0.505	3.754	0.00	7.22
4.460	2.095	0.501	3.754	0.00	7.22
4.533	2.095	0.501	3.754	0.00	7.22
4.608	2.095	0.501	3.754	0.00	7.22
4.680	2.095	0.501	3.754	0.00	7.22
4.754	2.090	0.501	3.754	0.00	7.22
4.827	2.090	0.505	3.754	0.00	7.22
4.900	2.095	0.501	3.754	0.00	7.22
4.973	2.095	0.496	3.749	0.00	7.22
5.050	2.095	0.501	3.749	0.00	7.22
5.123	2.090	0.496	3.754	0.00	0.00
5.195	2.090	0.501	3.749	0.00	0.00
5.269	2.090	0.496	3.749	0.00	0.00
5.342	2.090	0.505	3.754	0.00	0.00
5.415	2.090	0.510	3.749	0.00	0.00
5.488	2.090	0.505	3.749	0.00	0.00
5.561	2.090	0.501	3.749	0.00	0.00
5.634	2.095	0.505	3.754	0.00	0.00
5.707	2.090	0.496	3.754	0.00	0.00
5.780	2.090	0.501	3.749	0.00	0.00
5.853	2.095	0.501	3.754	0.00	0.00
5.926	2.095	0.505	3.754	0.00	0.00
5.999	2.095	0.510	3.754	0.00	0.00
6.076	2.095	0.501	3.754	0.00	0.00
6.149	2.090	0.496	3.749	0.00	0.00
6.221	2.090	0.501	3.754	0.00	0.00
6.295	2.090	0.510	3.749	0.00	2.43
6.368	2.090	0.501	3.749	0.00	2.43
6.441	2.090	0.501	3.749	0.00	2.43
6.514	2.090	0.505	3.754	0.00	2.43
6.587	2.090	0.501	3.749	0.00	2.43
6.661	2.095	0.496	3.749	0.00	2.43
6.733	2.095	0.505	3.749	0.00	2.43
6.807	2.095	0.505	3.749	0.00	2.43
6.880	2.095	0.505	3.749	0.00	2.43
6.952	2.090	0.505	3.754	0.00	2.43
7.026	2.090	0.501	3.749	0.00	2.43
7.099	2.090	0.496	3.754	0.00	2.43
7.176	2.090	0.501	3.749	0.00	2.43
7.248	2.095	0.496	3.749	0.00	2.43
7.322	2.095	0.505	3.749	0.00	2.43
7.395	2.090	0.505	3.749	0.00	2.43
7.468	2.090	0.505	3.754	0.00	2.43
7.541	2.090	0.496	3.754	0.00	2.43
7.614	2.095	0.505	3.749	0.00	2.43
7.688	2.090	0.505	3.754	0.00	2.43
7.760	2.095	0.501	3.749	0.00	2.43
7.833	2.090	0.501	3.754	0.00	2.43
7.907	2.090	0.501	3.754	0.00	2.43
7.980	2.090	0.496	3.754	0.00	2.43
8.053	2.090	0.491	3.749	0.00	2.43
8.126	2.090	0.510	3.749	0.00	2.43
8.207	2.090	0.496	3.749	0.00	2.43
8.284	2.090	0.496	3.749	0.00	0.00
8.356	2.090	0.501	3.749	0.00	0.00
8.429	2.090	0.501	3.749	0.00	0.00
8.503	2.095	0.510	3.754	0.00	0.00
8.576	2.090	0.505	3.749	0.00	0.00
8.648	2.090	0.505	3.754	0.00	0.00
8.722	2.095	0.505	3.749	0.00	0.00
8.795	2.090	0.496	3.749	0.00	0.00
8.867	2.090	0.501	3.749	0.00	0.00
8.941	2.090	0.505	3.749	0.00	0.00
9.014	2.090	0.501	3.749	0.00	0.00
9.086	2.095	0.505	3.754	0.00	0.00
9.160	2.090	0.496	3.749	0.00	0.00
9.233	2.090	0.501	3.754	0.00	0.00
9.309	2.090	0.491	3.749	0.00	0.00
9.382	2.090	0.501	3.754	0.00	0.00
9.455	2.090	0.505	3.749	0.00	0.00
9.528	2.095	0.496	3.749	0.00	0.00
9.602	2.090	0.510	3.754	0.00	0.00
9.674	2.090	0.510	3.749	0.00	0.00
9.747	2.090	0.510	3.749	0.00	0.00
9.820	2.090	0.510	3.754	0.00	0.00
9.893	2.090	0.501	3.754	0.00	0.00
9.966	2.090	0.501	3.749	0.00	0.00
10.039	2.095	0.501	3.749	0.00	0.00
10.113	2.090	0.501	3.754	0.00	0.00
10.185	2.090	0.505	3.754	0.00	0.00
10.258	2.090	0.505	3.749	0.00	0.00
10.332	2.090	0.496	3.749	0.00	0.00
10.407	2.090	0.501	3.749	0.00	0.00
10.481	2.090	0.510	3.749	0.00	0.00
10.554	2.090	0.496	3.754	0.00	0.00
10.627	2.090	0.501	3.749	0.00	0.00
10.700	2.090	0.505	3.749	0.00	0.00
10.773	2.090	0.496	3.754	0.00	0.00
10.846	2.090	0.501	3.749	0.00	0.00
10.926	2.090	0.505	3.754	0.00	0.00
10.998	2.090	0.501	3.749	0.00	0.00
11.071	2.090	0.501	3.749	0.00	0.00
11.144	2.090	0.505	3.754	0.00	0.00
11.217	2.090	0.510	3.749	0.00	0.00
11.290	2.090	0.501	3.754	0.00	0.00
11.363	2.090	0.496	3.749	0.00	0.00
11.440	2.090	0.496	3.749	0.00	0.00
11.512	2.090	0.501	3.754	0.00	0.00
11.585	2.090	0.501	3.754	0.00	0.00
11.659	2.090	0.496	3.749	0.00	0.00
11.731	2.090	0.505	3.749	0.00	0.00
11.804	2.090	0.496	3.749	0.00	0.00
11.878	2.090	0.505	3.749	0.00	0.00
11.951	2.095	0.491	3.749	0.00	0.00
12.024	2.090	0.505	3.749	0.00	0.00
12.097	2.090	0.505	3.749	0.00	0.00
12.170	2.090	0.501	3.749	0.00	0.00
12.243	2.090	0.505	3.749	0.00	0.00
12.316	2.090	0.496	3.754	0.00	0.00
12.389	2.090	0.510	3.749	0.00	0.00
12.466	2.090	0.501	3.749	0.00	0.00
12.538	2.090	0.505	3.749	0.00	0.00
12.611	2.090	0.501	3.749	0.00	0.00
12.685	2.090	0.505	3.754	0.00	0.00
12.758	2.090	0.505	3.749	0.00	0.00
12.830	2.095	0.505	3.749	0.00	0.00
12.904	2.090	0.505	3.749	0.00	0.00
12.977	2.095	0.501	3.749	0.00	0.00
13.050	2.090	0.505	3.754	0.00	0.00
13.123	2.090	0.501	3.754	0.00	0.00
13.196	2.090	0.491	3.749	0.00	0.00
13.270	2.090	0.496	3.749	0.00	0.00
13.342	2.090	0.501	3.754	0.00	0.00
13.415	2.090	0.496	3.749	0.00	0.00
13.492	2.095	0.501	3.754	0.00	0.00
13.564	2.090	0.505	3.749	0.00	0.00
13.637	2.090	0.496	3.749	0.00	0.00
13.711	2.090	0.505	3.754	0.00	0.00
13.784	2.090	0.515	3.749	0.00	0.00
13.856	2.095	0.496	3.754	0.00	0.00
13.930	2.090	0.515	3.754	0.00	0.00
14.003	2.095	0.501	3.749	0.00	0.00
14.107	2.090	0.501	3.754	0.00	0.00
14.211	2.095	0.496	3.749	0.00	0.00
14.284	2.090	0.515	3.749	0.00	0.00
14.357	2.090	0.505	3.749	0.00	0.00
14.430	2.090	0.491	3.749	0.00	0.00
14.503	2.090	0.501	3.749	0.00	0.00
14.576	2.090	0.505	3.754	0.00	0.00
14.652	2.090	0.496	3.749	0.00	0.00
14.726	2.090	0.505	3.749	0.00	0.00
14.798	2.095	0.496	3.749	0.00	0.00
14.871	2.090	0.501	3.749	0.00	0.00
