tijd	koppel	stroom	spanning	kadans	snelheid
2.264	2.110	0.501	3.788	0.00	0.00
2.338	2.110	0.501	3.793	0.00	0.00
2.412	2.110	0.501	3.788	0.00	0.00
2.487	2.110	0.501	3.793	0.00	0.00
2.568	2.110	0.505	3.793	0.00	0.00
2.642	2.105	0.501	3.788	0.00	0.00
2.717	2.105	0.501	3.793	0.00	0.00
2.791	2.110	0.496	3.793	0.00	0.00
2.863	2.105	0.496	3.793	0.00	0.00
2.935	2.110	0.510	3.793	0.00	0.00
3.007	2.110	0.501	3.793	0.00	0.00
3.079	2.105	0.496	3.793	0.00	0.00
3.151	2.110	0.505	3.793	0.00	0.00
3.223	2.110	0.510	3.793	6.21	0.00
3.296	2.090	0.501	3.793	6.21	0.00
3.371	2.110	0.505	3.793	6.21	0.00
3.443	2.105	0.505	3.788	6.21	5.61
3.515	2.090	0.501	3.793	6.21	5.61
3.588	2.105	0.496	3.793	6.21	5.61
3.659	2.100	0.496	3.788	18.52	5.61
3.732	2.081	0.505	3.793	18.52	5.61
3.804	2.090	0.501	3.788	18.52	5.61
3.876	2.066	0.510	3.788	18.52	5.61
3.948	2.090	0.501	3.788	18.52	5.61
4.021	2.125	0.510	3.788	20.16	5.61
4.092	2.144	0.501	3.788	20.16	5.61
4.165	2.164	0.505	3.793	20.16	5.61
4.237	2.105	0.501	3.793	20.16	5.61
4.310	2.086	0.496	3.793	24.27	5.61
4.385	2.228	0.505	3.788	24.27	5.61
4.457	2.189	0.510	3.587	24.27	5.61
4.530	2.120	0.525	3.734	32.05	5.61
4.602	1.982	0.800	3.916	32.05	5.61
4.675	1.708	0.937	3.617	32.05	6.20
4.748	1.433	1.227	3.626	35.38	6.20
4.819	1.271	1.089	3.563	35.38	6.20
4.892	1.237	0.898	3.479	35.38	6.20
4.964	1.330	1.011	3.558	36.41	6.20
5.037	1.286	1.006	3.828	36.41	6.20
5.108	1.531	0.756	3.739	36.41	6.20
5.181	1.840	0.672	3.597	39.47	6.20
5.253	2.022	0.564	3.793	39.47	6.20
5.325	2.110	0.623	3.798	43.86	6.20
5.397	2.095	0.824	3.837	43.86	10.25
5.473	2.095	0.697	3.464	43.86	10.25
5.545	2.110	0.618	4.043	44.12	10.25
5.617	2.198	0.545	3.823	44.12	10.25
5.690	2.193	0.525	3.778	48.39	10.25
5.762	2.267	0.540	3.729	48.39	10.25
5.834	2.238	0.550	3.675	48.70	10.25
5.907	2.140	0.628	3.666	48.70	10.25
5.979	2.081	0.564	3.626	49.34	10.25
6.051	1.982	0.555	3.617	49.34	12.49
6.123	1.840	0.550	3.832	50.34	12.49
6.196	1.845	0.550	3.685	50.34	12.49
6.267	1.865	0.569	3.872	50.34	12.49
6.340	1.821	0.535	3.621	50.34	12.49
6.416	1.771	0.559	3.877	50.34	12.49
6.488	1.825	0.530	3.592	50.34	12.49
6.560	1.776	0.496	3.744	50.34	12.49
6.632	1.791	0.505	3.749	0.00	12.93
6.705	1.752	0.496	3.749	0.00	12.93
6.776	1.757	0.501	3.754	0.00	12.93
6.848	1.757	0.486	3.754	0.00	12.93
6.921	1.737	0.501	3.754	0.00	12.93
6.992	1.811	0.501	3.754	0.00	12.93
7.064	1.776	0.505	3.759	0.00	12.93
7.137	1.727	0.505	3.759	0.00	12.93
7.208	1.781	0.510	3.759	0.00	12.93
7.281	1.767	0.501	3.764	0.00	12.70
7.353	1.816	0.501	3.764	0.00	12.70
7.425	1.776	0.501	3.764	0.00	12.70
7.502	1.767	0.496	3.769	0.00	12.70
7.574	1.801	0.515	3.769	0.00	12.70
7.647	1.767	0.496	3.769	0.00	12.70
7.718	1.791	0.491	3.769	0.00	12.70
7.791	1.732	0.496	3.769	0.00	12.70
7.863	1.767	0.510	3.769	0.00	12.61
7.950	1.781	0.501	3.774	0.00	12.61
8.023	1.860	0.505	3.769	0.00	12.61
8.094	1.865	0.496	3.774	3.81	12.61
8.167	1.879	0.505	3.774	3.81	12.61
8.239	1.938	0.505	3.774	42.61	12.61
8.311	1.982	0.496	3.774	42.61	12.61
8.383	2.032	0.491	3.774	49.67	12.61
8.456	2.105	0.505	3.778	49.67	12.61
8.530	2.086	0.505	3.778	49.67	12.51
8.603	2.090	0.505	3.778	49.34	12.51
8.676	2.154	0.505	3.778	49.34	12.51
8.749	2.174	0.501	3.778	51.02	12.51
8.821	2.189	0.510	3.774	51.02	12.51
8.893	2.193	0.510	3.793	52.08	12.51
8.966	2.125	0.515	3.862	52.08	12.51
9.038	1.992	0.535	3.808	51.02	12.51
9.111	1.767	0.530	3.847	51.02	13.28
