tijd	koppel	stroom	spanning	kadans	snelheid
5.175	15.83	10.93	37.22	0.00	0.00
5.225	21.99	10.31	36.83	0.00	0.00
5.275	32.07	8.98	37.00	105.63	0.00
5.325	30.39	11.03	36.71	105.63	0.00
5.376	20.31	8.33	37.22	74.26	0.00
5.425	13.03	10.17	37.39	74.26	0.00
5.475	12.47	9.09	37.79	75.00	0.00
5.525	-1.54	5.35	38.13	75.00	0.00
5.575	0.14	5.27	38.13	75.00	0.00
5.625	-2.10	4.23	38.36	75.00	0.00
5.676	6.31	5.09	38.30	34.88	0.00
5.725	5.19	4.52	38.53	34.88	0.00
5.775	14.15	3.55	38.87	34.88	0.00
5.825	10.79	4.37	38.64	34.88	0.00
5.875	14.71	4.16	38.70	34.88	0.00
5.925	10.23	3.33	39.04	34.88	0.00
5.976	11.91	0.34	39.61	24.67	15.93
6.025	8.55	-0.09	39.84	24.67	15.93
6.075	7.43	0.02	39.95	24.67	15.93
6.125	5.19	-0.05	40.07	24.67	15.93
6.175	2.39	-0.02	40.18	24.67	15.93
6.225	-1.54	0.06	40.24	24.67	15.93
6.275	-4.90	-0.05	40.29	24.67	15.93
6.325	-4.90	-0.02	40.35	24.67	15.93
6.375	-0.42	-0.02	40.41	24.67	15.93
6.425	2.39	-0.02	40.46	16.82	15.93
6.475	5.75	0.02	40.52	16.82	15.55
6.525	7.43	-0.02	40.52	16.82	15.55
6.575	7.43	-0.09	40.58	16.82	15.55
6.625	5.19	-0.02	40.63	16.82	15.55
6.675	-0.98	0.02	40.63	16.82	15.55
6.725	-4.90	0.02	40.69	25.25	15.55
6.775	-9.38	-0.09	40.69	25.25	15.55
6.825	-13.86	-0.02	40.75	81.52	15.55
6.875	-8.26	-0.05	40.75	81.52	15.55
6.925	-13.86	-0.02	40.80	79.79	15.55
6.975	-8.82	-0.05	40.80	79.79	14.92
7.025	-3.22	-0.05	40.86	77.32	14.92
7.075	9.11	-0.09	40.86	77.32	14.92
7.126	15.83	-0.09	40.86	65.79	14.92
7.175	32.07	-0.05	40.92	65.79	14.92
7.225	46.07	0.02	40.92	65.79	14.92
7.275	46.07	0.06	40.92	55.15	14.92
7.325	39.35	0.09	40.92	55.15	14.92
7.375	44.39	0.13	40.92	55.15	14.92
7.426	33.75	1.57	40.63	50.00	14.92
7.475	27.03	2.61	40.35	50.00	14.92
7.525	15.27	4.84	39.67	50.00	14.67
7.575	11.35	4.88	39.50	50.34	14.67
7.625	6.87	7.00	39.33	50.34	14.67
7.675	0.70	7.58	38.76	60.98	14.67
7.726	-3.78	6.43	38.87	60.98	14.67
